Model,Features Creator,Intelligence SciCode (Coding)
Exaone 4.0 1.2B Non-Thinking,LG AI Research,7%
Exaone 4.0 1.2B Thinking,LG AI Research,9%
GLM-4.5,Z AI,35%
GLM-4.5-Air,Z AI,31%
GLM-4.5V Thinking,Z AI,22%
GLM-4.5V Non-Thinking,Z AI,19%
GLM-4.6 Non-Thinking,Z AI,33%
GLM-4.6 Thinking,Z AI,38%
GLM-4.6V Thinking,Z AI,30%
GLM-4.6V Non-Thinking,Z AI,27%
GLM-4.7 Non-Thinking,Z AI,35%
GLM-4.7 Thinking,Z AI,45%
GPT-3.5 Turbo,OpenAI,--
GPT-3.5 Turbo (0613),OpenAI,--
GPT-4,OpenAI,--
GPT-4 Turbo,OpenAI,32%
GPT-4.1,OpenAI,38%
GPT-4.1 mini,OpenAI,40%
GPT-4.1 nano,OpenAI,26%
GPT-4.5 (Preview),OpenAI,--
GPT-4o (Aug),OpenAI,--
GPT-4o (ChatGPT),OpenAI,33%
GPT-4o (Mar),OpenAI,37%
GPT-4o (May),OpenAI,31%
GPT-4o (Nov),OpenAI,33%
GPT-4o Realtime (Dec),OpenAI,--
GPT-4o mini,OpenAI,23%
GPT-4o mini Realtime (Dec),OpenAI,--
GPT-5 (ChatGPT),OpenAI,38%
GPT-5 (high),OpenAI,43%
GPT-5 (low),OpenAI,39%
GPT-5 (medium),OpenAI,41%
GPT-5 (minimal),OpenAI,39%
GPT-5 Codex (high),OpenAI,41%
GPT-5 mini (high),OpenAI,39%
GPT-5 mini (medium),OpenAI,41%
GPT-5 mini (minimal),OpenAI,37%
GPT-5 nano (high),OpenAI,37%
GPT-5 nano (medium),OpenAI,34%
GPT-5 nano (minimal),OpenAI,29%
GPT-5.1,OpenAI,37%
GPT-5.1 (high),OpenAI,43%
GPT-5.1 Codex (high),OpenAI,40%
GPT-5.1 Codex mini (high),OpenAI,43%
GPT-5.2,OpenAI,40%
GPT-5.2 (xhigh),OpenAI,52%
Gemini 1.0 Pro,Google,12%
Gemini 1.0 Ultra,Google,--
Gemini 1.5 Flash (May),Google,18%
Gemini 1.5 Flash (Sep),Google,27%
Gemini 1.5 Flash-8B,Google,23%
Gemini 1.5 Pro (May),Google,27%
Gemini 1.5 Pro (Sep),Google,30%
Gemini 2.0 Flash,Google,33%
Gemini 2.0 Flash (exp),Google,34%
Gemini 2.0 Flash Thinking exp. (Dec),Google,--
Gemini 2.0 Flash Thinking exp. (Jan),Google,33%
Gemini 2.0 Flash-Lite (Feb),Google,25%
Gemini 2.0 Flash-Lite (Preview),Google,25%
Gemini 2.0 Pro Experimental,Google,31%
Gemini 2.5 Flash Thinking 2504,Google,36%
Gemini 2.5 Flash Non-Thinking 2504,Google,23%
Gemini 2.5 Flash Non-Thinking 2505,Google,29%
Gemini 2.5 Flash Thinking 2505,Google,39%
Gemini 2.5 Flash (Sep) Non-Thinking,Google,38%
Gemini 2.5 Flash (Sep) Thinking,Google,41%
Gemini 2.5 Flash-Lite Thinking,Google,19%
Gemini 2.5 Flash-Lite Non-Thinking,Google,18%
Gemini 2.5 Flash-Lite (Sep) Thinking,Google,29%
Gemini 2.5 Flash-Lite (Sep) Non-Thinking,Google,28%
Gemini 2.5 Pro,Google,43%
Gemini 2.5 Pro (Mar),Google,40%
Gemini 2.5 Pro (May),Google,42%
Gemini 3 Flash Thinking,Google,51%
Gemini 3 Flash Non-Thinking,Google,50%
Gemini 3 Pro Preview (high),Google,56%
Gemini 3 Pro Preview (low),Google,50%
Gemma 3 12B,Google,17%
Gemma 3 1B,Google,1%
Gemma 3 270M,Google,0%
Gemma 3 27B,Google,21%
Gemma 3 4B,Google,7%
Gemma 3n E2B,Google,5%
Gemma 3n E4B,Google,8%
Gemma 3n E4B (May),Google,9%
Granite 3.3 8B,IBM,10%
Granite 4.0 1B,IBM,9%
Granite 4.0 350M,IBM,1%
Granite 4.0 H 1B,IBM,8%
Granite 4.0 H 350M,IBM,2%
Granite 4.0 H Small,IBM,21%
Granite 4.0 Micro,IBM,12%
Grok 2,xAI,28%
Grok 3,xAI,37%
Grok 3 Reasoning Beta,xAI,--
Grok 3 mini Reasoning (high),xAI,41%
Grok 4,xAI,46%
Grok 4 Fast Thinking,xAI,44%
Grok 4 Fast Non-Thinking,xAI,33%
Grok 4.1 Fast Non-Thinking,xAI,30%
Grok 4.1 Fast Thinking,xAI,44%
Grok Beta,xAI,30%
Grok Code Fast 1,xAI,36%
Grok Voice Agent,xAI,--
Grok-1,xAI,--
Hermes 3 - Llama-3.1 70B,Nous Research,23%
Hermes 4 405B Non-Thinking,Nous Research,35%
Hermes 4 405B Thinking,Nous Research,25%
Hermes 4 70B Thinking,Nous Research,34%
Hermes 4 70B Non-Thinking,Nous Research,28%
HyperCLOVA X SEED Think (32B),Naver,28%
Jamba 1.5 Large,AI21 Labs,16%
Jamba 1.5 Mini,AI21 Labs,8%
Jamba 1.6 Large,AI21 Labs,18%
Jamba 1.6 Mini,AI21 Labs,10%
Jamba 1.7 Large,AI21 Labs,19%
Jamba 1.7 Mini,AI21 Labs,9%
Jamba Reasoning 3B,AI21 Labs,6%
K2-V2 (high),MBZUAI Institute of Foundation Models,29%
K2-V2 (low),MBZUAI Institute of Foundation Models,22%
K2-V2 (medium),MBZUAI Institute of Foundation Models,25%
KAT-Coder-Pro V1,KwaiKAT,37%
Kimi K2,Kimi,35%
Kimi K2 0905,Kimi,31%
Kimi K2 Thinking,Kimi,42%
Kimi Linear 48B A3B Instruct,Kimi,20%
LFM 40B,Liquid AI,7%
LFM2 1.2B,Liquid AI,3%
LFM2 2.6B,Liquid AI,3%
LFM2 8B A1B,Liquid AI,7%
Ling-1T,InclusionAI,35%
Ling-flash-2.0,InclusionAI,29%
Ling-mini-2.0,InclusionAI,14%
Llama 2 Chat 13B,Meta,12%
Llama 2 Chat 70B,Meta,--
Llama 2 Chat 7B,Meta,0%
Llama 3 70B,Meta,19%
Llama 3 8B,Meta,12%
Llama 3.1 405B,Meta,30%
Llama 3.1 70B,Meta,27%
Llama 3.1 8B,Meta,13%
Llama 3.1 Nemotron 70B,NVIDIA,23%
Llama 3.1 Nemotron Nano 4B v1.1,NVIDIA,10%
Llama 3.2 11B (Vision),Meta,11%
Llama 3.2 1B,Meta,2%
Llama 3.2 3B,Meta,5%
Llama 3.2 90B (Vision),Meta,24%
Llama 3.3 70B,Meta,26%
Llama 3.3 Nemotron Super 49B Non-Thinking,NVIDIA,23%
Llama 3.3 Nemotron Super 49B Thinking,NVIDIA,28%
Llama 4 Maverick,Meta,33%
Llama 4 Scout,Meta,17%
Llama 65B,Meta,--
Llama Nemotron Super 49B v1.5 Thinking,NVIDIA,35%
Llama Nemotron Super 49B v1.5 Non-Thinking,NVIDIA,24%
Llama Nemotron Ultra,NVIDIA,35%
Magistral Medium 1,Mistral,30%
Magistral Medium 1.2,Mistral,39%
Magistral Small 1,Mistral,24%
Magistral Small 1.2,Mistral,35%
Mi:dm K 2.5 Pro Preview,Korea Telecom,30%
MiMo-V2-Flash Thinking,Xiaomi,39%
MiMo-V2-Flash Non-Thinking,Xiaomi,26%
MiniMax M1 40k,MiniMax,38%
MiniMax M1 80k,MiniMax,37%
MiniMax-M2,MiniMax,36%
MiniMax-M2.1,MiniMax,41%
Ministral 14B (Dec '25),Mistral,24%
Ministral 3B (Dec '25),Mistral,14%
Ministral 8B (Dec '25),Mistral,21%
Mistral 7B,Mistral,2%
Mistral Large (Feb),Mistral,21%
Mistral Large 2 (Jul),Mistral,27%
Mistral Large 2 (Nov),Mistral,29%
Mistral Large 3,Mistral,36%
Mistral Medium,Mistral,12%
Mistral Medium 3,Mistral,33%
Mistral Medium 3.1,Mistral,34%
Mistral Saba,Mistral,24%
Mistral Small (Feb),Mistral,13%
Mistral Small (Sep),Mistral,16%
Mistral Small 3,Mistral,24%
Mistral Small 3.1,Mistral,27%
Mistral Small 3.2,Mistral,26%
Mixtral 8x22B,Mistral,19%
Mixtral 8x7B,Mistral,3%
Molmo 7B-D,Allen Institute for AI,4%
Motif-2-12.7B,Motif Technologies,28%
NVIDIA Nemotron 3 Nano Non-Thinking,NVIDIA,23%
NVIDIA Nemotron 3 Nano Thinking,NVIDIA,30%
NVIDIA Nemotron Nano 12B v2 VL Non-Thinking,NVIDIA,18%
NVIDIA Nemotron Nano 12B v2 VL Thinking,NVIDIA,26%
NVIDIA Nemotron Nano 9B V2 Non-Thinking,NVIDIA,21%
NVIDIA Nemotron Nano 9B V2 Thinking,NVIDIA,22%
Nova 2.0 Lite,Amazon,24%
Nova 2.0 Lite (low),Amazon,33%
Nova 2.0 Lite (medium),Amazon,37%
Nova 2.0 Omni,Amazon,28%
Nova 2.0 Omni (low),Amazon,34%
Nova 2.0 Omni (medium),Amazon,36%
Nova 2.0 Pro Preview,Amazon,28%
Nova 2.0 Pro Preview (low),Amazon,39%
Nova 2.0 Pro Preview (medium),Amazon,43%
Nova Lite,Amazon,14%
Nova Micro,Amazon,9%
Nova Premier,Amazon,28%
Nova Pro,Amazon,21%
OLMo 2 32B,Allen Institute for AI,8%
OLMo 2 7B,Allen Institute for AI,4%
OLMo 3 32B Think,Allen Institute for AI,29%
OLMo 3 7B,Allen Institute for AI,10%
OLMo 3 7B Think,Allen Institute for AI,21%
Olmo 3.1 32B Think,Allen Institute for AI,29%
OpenChat 3.5,OpenChat,--
PALM-2,Google,--
Phi-3 Mini,Microsoft Azure,9%
Phi-4,Microsoft Azure,26%
Phi-4 Mini,Microsoft Azure,11%
Phi-4 Multimodal,Microsoft Azure,11%
Pixtral Large,Mistral,29%
QwQ 32B-Preview,Alibaba,4%
QwQ-32B,Alibaba,36%
Qwen Chat 14B,Alibaba,--
Qwen Chat 72B,Alibaba,--
Qwen1.5 Chat 110B,Alibaba,--
Qwen2 72B,Alibaba,23%
Qwen2.5 72B,Alibaba,27%
Qwen2.5 Coder 32B,Alibaba,27%
Qwen2.5 Coder 7B,Alibaba,15%
Qwen2.5 Instruct 32B,Alibaba,23%
Qwen2.5 Max,Alibaba,34%
Qwen2.5 Turbo,Alibaba,15%
Qwen3 0.6B Non-Thinking,Alibaba,4%
Qwen3 0.6B Thinking,Alibaba,3%
Qwen3 1.7B Thinking,Alibaba,4%
Qwen3 1.7B Non-Thinking,Alibaba,7%
Qwen3 14B Non-Thinking,Alibaba,27%
Qwen3 14B Thinking,Alibaba,32%
Qwen3 235B Thinking,Alibaba,40%
Qwen3 235B Non-Thinking,Alibaba,30%
Qwen3 235B 2507,Alibaba,36%
Qwen3 235B A22B 2507,Alibaba,42%
Qwen3 30B Thinking,Alibaba,28%
Qwen3 30B Non-Thinking,Alibaba,26%
Qwen3 30B A3B 2507 Thinking,Alibaba,33%
Qwen3 30B A3B 2507 Non-Thinking,Alibaba,30%
Qwen3 32B Non-Thinking,Alibaba,28%
Qwen3 32B Thinking,Alibaba,35%
Qwen3 4B Thinking,Alibaba,4%
Qwen3 4B Non-Thinking,Alibaba,17%
Qwen3 4B 2507 Non-Thinking,Alibaba,18%
Qwen3 4B 2507 Thinking,Alibaba,26%
Qwen3 8B Thinking,Alibaba,23%
Qwen3 8B Non-Thinking,Alibaba,17%
Qwen3 Coder 30B A3B,Alibaba,28%
Qwen3 Coder 480B,Alibaba,36%
Qwen3 Max,Alibaba,38%
Qwen3 Max (Preview),Alibaba,37%
Qwen3 Max Thinking,Alibaba,39%
Qwen3 Next 80B A3B Non-Thinking,Alibaba,31%
Qwen3 Next 80B A3B Thinking,Alibaba,39%
Qwen3 Omni 30B A3B Non-Thinking,Alibaba,19%
Qwen3 Omni 30B A3B Thinking,Alibaba,31%
Qwen3 VL 235B A22B Non-Thinking,Alibaba,36%
Qwen3 VL 235B A22B Thinking,Alibaba,40%
Qwen3 VL 30B A3B Non-Thinking,Alibaba,31%
Qwen3 VL 30B A3B Thinking,Alibaba,29%
Qwen3 VL 32B Non-Thinking,Alibaba,30%
Qwen3 VL 32B Thinking,Alibaba,28%
Qwen3 VL 4B Thinking,Alibaba,17%
Qwen3 VL 4B Non-Thinking,Alibaba,14%
Qwen3 VL 8B Non-Thinking,Alibaba,17%
Qwen3 VL 8B Thinking,Alibaba,22%
R1 1776,Perplexity,--
Reka Flash,Reka AI,--
Reka Flash 3,Reka AI,27%
Ring-1T,InclusionAI,37%
Ring-flash-2.0,InclusionAI,17%
Seed-OSS-36B-Instruct,ByteDance Seed,37%
Solar Mini,Upstage,--
Solar Pro 2 Non-Thinking,Upstage,25%
Solar Pro 2 Preview Non-Thinking,Upstage,27%
Solar Pro 2 Preview Thinking,Upstage,16%
Solar Pro 2 Thinking,Upstage,30%
Sonar,Perplexity,23%
Sonar Pro,Perplexity,23%
Sonar Reasoning,Perplexity,--
Sonar Reasoning Pro,Perplexity,--
Tulu3 405B,Allen Institute for AI,30%
gpt-oss-120B (high),OpenAI,39%
gpt-oss-120B (low),OpenAI,36%
gpt-oss-20B (high),OpenAI,34%
gpt-oss-20B (low),OpenAI,34%
o1,OpenAI,36%
o1-mini,OpenAI,32%
o1-preview,OpenAI,--
o1-pro,OpenAI,--
o3,OpenAI,41%
o3-mini,OpenAI,40%
o3-mini (high),OpenAI,40%
o3-pro,OpenAI,--
o4-mini (high),OpenAI,47%
