Model,Features Creator,Intelligence SciCode (Coding)
GLM-4.5V,Z AI,22%
Qwen3 30B A3B 2507,Alibaba,30%
Qwen3 30B,Alibaba,28%
Devstral 2,Mistral,33%
OLMo 3 32B Think,Allen Institute for AI,29%
Solar Pro 2,Upstage,16%
Nemotron Nano 9B V2,NVIDIA,21%
Qwen3 14B,Alibaba,32%
Llama 4 Maverick,Meta,33%
Nova 2.0 Lite,Amazon,24%
GPT-4o (Mar),OpenAI,37%
Llama 3.3 Nemotron Super 49B,NVIDIA,28%
Medium 3.1,Mistral,34%
Gemini 2.0 Pro Experimental,Google,31%
Sonar Reasoning,Perplexity,--
Gemini 2.5 Flash,Google,23%
Nova 2.0 Omni,Amazon,28%
Medium 3,Mistral,33%
Gemini 2.0 Flash,Google,33%
Qwen3 Coder 30B A3B,Alibaba,28%
Magistral Medium 1,Mistral,30%
ERNIE 4.5 300B A47B,Baidu,32%
R1 Distill Qwen 32B,DeepSeek,38%
Hermes 4 405B,Nous Research,35%
V3 (Dec),DeepSeek,35%
Nova Premier,Amazon,28%
Qwen3 VL 8B,Alibaba,22%
OLMo 3 7B Think,Allen Institute for AI,21%
Magistral Small 1,Mistral,24%
Gemini 2.0 Flash (exp),Google,34%
Devstral Small 2,Mistral,29%
K2-V2 (low),MBZUAI Institute of Foundation Models,22%
R1 0528 Qwen3 8B,DeepSeek,20%
Qwen2.5 Max,Alibaba,34%
Ministral 14B (Dec '25),Mistral,24%
GLM-4.6V,Z AI,27%
Qwen3 4B 2507,Alibaba,18%
EXAONE 4.0 32B,LG AI Research,25%
Solar Pro 2,Upstage,25%
Qwen3 Omni 30B A3B,Alibaba,19%
Gemini 2.5 Flash-Lite,Google,18%
Gemini 1.5 Pro (Sep),Google,30%
Solar Pro 2,Upstage,27%
Qwen3 235B,Alibaba,30%
R1 Distill Llama 70B,DeepSeek,31%
Claude 3.5 Sonnet (Oct),Anthropic,37%
R1 Distill Qwen 14B,DeepSeek,24%
Qwen3 14B,Alibaba,27%
Small 3.2,Mistral,26%
GPT-5 nano (minimal),OpenAI,29%
GPT-4o (Aug),OpenAI,--
Qwen2.5 72B,Alibaba,27%
Sonar,Perplexity,23%
Qwen3 8B,Alibaba,23%
Ministral 8B (Dec '25),Mistral,21%
Sonar Pro,Perplexity,23%
Llama 4 Scout,Meta,17%
Llama 3.1 405B,Meta,30%
QwQ 32B-Preview,Alibaba,4%
Llama 3.3 70B,Meta,26%
Devstral Medium,Mistral,29%
Ling-mini-2.0,InclusionAI,14%
Qwen3 VL 4B,Alibaba,17%
GPT-4.1 nano,OpenAI,26%
Devstral Small,Mistral,24%
Qwen3 VL 8B,Alibaba,17%
GPT-4o (Nov),OpenAI,33%
Command A,Cohere,28%
Gemini 2.0 Flash-Lite (Feb),Google,25%
Large 2 (Nov),Mistral,29%
Exaone 4.0 1.2B,LG AI Research,9%
Llama Nemotron Super 49B v1.5,NVIDIA,24%
Qwen3 30B,Alibaba,26%
Qwen3 32B,Alibaba,28%
GPT-4o (May),OpenAI,31%
Gemini 2.0 Flash-Lite (Preview),Google,25%
Llama 3.1 Nemotron Nano 4B v1.1,NVIDIA,10%
Kimi Linear 48B A3B Instruct,Kimi,20%
GLM-4.5V,Z AI,19%
Reka Flash 3,Reka AI,27%
Llama 3.3 Nemotron Super 49B,NVIDIA,23%
Qwen3 4B,Alibaba,4%
Nemotron 3 Nano,NVIDIA,23%
Claude 3.5 Sonnet (June),Anthropic,32%
Nemotron Nano 12B v2 VL,NVIDIA,18%
Tulu3 405B,Allen Institute for AI,30%
GPT-4o (ChatGPT),OpenAI,33%
Qwen3 VL 4B,Alibaba,14%
Nova Pro,Amazon,21%
Pixtral Large,Mistral,29%
Small 3.1,Mistral,27%
Grok 2,xAI,28%
Gemini 1.5 Flash (Sep),Google,27%
GPT-4 Turbo,OpenAI,32%
Hermes 4 70B,Nous Research,28%
Llama 3.1 Nemotron 70B,NVIDIA,23%
Grok Beta,xAI,30%
Qwen3 8B,Alibaba,17%
Qwen2.5 Instruct 32B,Alibaba,23%
Granite 4.0 H Small,IBM,21%
Phi-4,Microsoft Azure,26%
Llama 3.1 70B,Meta,27%
Qwen3 1.7B,Alibaba,4%
Large 2 (Jul),Mistral,27%
OLMo 3 7B,Allen Institute for AI,10%
Gemma 3 27B,Google,21%
Qwen2.5 Coder 32B,Alibaba,27%
Ministral 3B (Dec '25),Mistral,14%
GPT-4,OpenAI,--
Nova Lite,Amazon,14%
Small 3,Mistral,24%
GPT-4o mini,OpenAI,23%
Jamba Reasoning 3B,AI21 Labs,6%
Jamba 1.7 Large,AI21 Labs,19%
-V2.5 (Dec),DeepSeek,--
Qwen3 4B,Alibaba,17%
Claude 3 Opus,Anthropic,23%
Exaone 4.0 1.2B,LG AI Research,7%
Gemma 3 12B,Google,17%
Claude 3.5 Haiku,Anthropic,27%
Gemini 2.0 Flash Thinking exp. (Dec),Google,--
-V2.5,DeepSeek,--
Devstral Small (May),Mistral,25%
Saba,Mistral,24%
R1 Distill Llama 8B,DeepSeek,12%
Gemini 1.5 Pro (May),Google,27%
R1 1776,Perplexity,--
Qwen2.5 Turbo,Alibaba,15%
Reka Flash,Reka AI,--
Llama 3.2 90B (Vision),Meta,24%
Solar Mini,Upstage,--
Grok-1,xAI,--
Qwen2 72B,Alibaba,23%
Nova Micro,Amazon,9%
LFM2 8B A1B,Liquid AI,7%
Llama 3.1 8B,Meta,13%
Gemini 1.5 Flash-8B,Google,23%
Granite 4.0 Micro,IBM,12%
Phi-4 Mini,Microsoft Azure,11%
DeepHermes 3 - Mistral 24B,Nous Research,23%
Llama 3.2 11B (Vision),Meta,11%
Gemma 3n E4B,Google,8%
Granite 3.3 8B,IBM,10%
Jamba 1.5 Large,AI21 Labs,16%
Jamba 1.7 Mini,AI21 Labs,9%
Gemma 3 4B,Google,7%
Hermes 3 - Llama-3.1 70B,Nous Research,23%
-Coder-V2,DeepSeek,--
Qwen3 1.7B,Alibaba,7%
OLMo 2 32B,Allen Institute for AI,8%
Jamba 1.6 Large,AI21 Labs,18%
Qwen3 0.6B,Alibaba,3%
Gemini 1.5 Flash (May),Google,18%
Granite 4.0 H 1B,IBM,8%
Claude 3 Sonnet,Anthropic,23%
Granite 4.0 1B,IBM,9%
Llama 3 70B,Meta,19%
Small (Sep),Mistral,16%
Gemini 1.0 Ultra,Google,--
Phi-3 Mini,Microsoft Azure,9%
Gemma 3n E4B (May),Google,9%
Phi-4 Multimodal,Microsoft Azure,11%
Qwen2.5 Coder 7B,Alibaba,15%
Large (Feb),Mistral,21%
LFM2 2.6B,Liquid AI,3%
Mixtral 8x22B,Mistral,19%
Llama 2 Chat 7B,Meta,0%
Gemma 3n E2B,Google,5%
Llama 3.2 3B,Meta,5%
Qwen3 0.6B,Alibaba,4%
Qwen1.5 Chat 110B,Alibaba,--
LFM2 1.2B,Liquid AI,3%
Claude 2.1,Anthropic,18%
Claude 3 Haiku,Anthropic,19%
OLMo 2 7B,Allen Institute for AI,4%
Molmo 7B-D,Allen Institute for AI,4%
Llama 3.2 1B,Meta,2%
R1 Distill Qwen 1.5B,DeepSeek,7%
Claude 2.0,Anthropic,19%
-V2,DeepSeek,--
Small (Feb),Mistral,13%
Medium,Mistral,12%
GPT-3.5 Turbo,OpenAI,--
Granite 4.0 H 350M,IBM,2%
Granite 4.0 350M,IBM,1%
Arctic,Snowflake,--
Qwen Chat 72B,Alibaba,--
LFM 40B,Liquid AI,7%
Llama 3 8B,Meta,12%
Gemma 3 1B,Google,1%
PALM-2,Google,--
Gemini 1.0 Pro,Google,12%
Coder V2 Lite,DeepSeek,14%
Gemma 3 270M,Google,0%
Llama 2 Chat 70B,Meta,--
LLM 67B (V1),DeepSeek,--
Llama 2 Chat 13B,Meta,12%
Command-R+ (Apr),Cohere,12%
3.5,OpenChat,--
DBRX,Databricks,12%
Jamba 1.5 Mini,AI21 Labs,8%
Jamba 1.6 Mini,AI21 Labs,10%
Mixtral 8x7B,Mistral,3%
DeepHermes 3 - Llama-3.1 8B,Nous Research,9%
Llama 65B,Meta,--
Qwen Chat 14B,Alibaba,--
Claude Instant,Anthropic,--
7B,Mistral,2%
Command-R (Mar),Cohere,6%
-OCR,DeepSeek,--
Grok Voice Agent,xAI,--
Cogito v2.1,Deep Cogito,41%
GPT-4o Realtime (Dec),OpenAI,--
GPT-4o mini Realtime (Dec),OpenAI,--
GPT-3.5 Turbo (0613),OpenAI,--
