Model,Features Creator,Intelligence LiveCodeBench (Coding)
Nova 2.0 Lite,Amazon,35%
Nova 2.0 Lite (low),Amazon,47%
Nova 2.0 Lite (medium),Amazon,66%
Nova 2.0 Omni,Amazon,31%
Nova 2.0 Omni (low),Amazon,59%
Nova 2.0 Omni (medium),Amazon,66%
Nova 2.0 Pro Preview,Amazon,47%
Nova 2.0 Pro Preview (low),Amazon,64%
Nova 2.0 Pro Preview (medium),Amazon,73%
Nova Lite,Amazon,17%
Nova Micro,Amazon,14%
Nova Premier,Amazon,32%
Nova Pro,Amazon,23%
OLMo 2 32B,Allen Institute for AI,7%
OLMo 2 7B,Allen Institute for AI,4%
OLMo 3 32B Think,Allen Institute for AI,67%
OLMo 3 7B,Allen Institute for AI,27%
OLMo 3 7B Think,Allen Institute for AI,62%
Olmo 3.1 32B Think,Allen Institute for AI,70%
OpenChat 3.5,OpenChat,12%
PALM-2,Google,--
Phi-3 Mini,Microsoft Azure,12%
Phi-4,Microsoft Azure,23%
Phi-4 Mini,Microsoft Azure,13%
Phi-4 Multimodal,Microsoft Azure,13%
Pixtral Large,Mistral,26%
QwQ 32B-Preview,Alibaba,34%
QwQ-32B,Alibaba,63%
Qwen Chat 14B,Alibaba,--
Qwen Chat 72B,Alibaba,--
Qwen1.5 Chat 110B,Alibaba,--
Qwen2 72B,Alibaba,16%
Qwen2.5 72B,Alibaba,28%
Qwen2.5 Coder 32B,Alibaba,30%
Qwen2.5 Coder 7B,Alibaba,13%
Qwen2.5 Instruct 32B,Alibaba,25%
Qwen2.5 Max,Alibaba,36%
Qwen2.5 Turbo,Alibaba,16%
Qwen3 0.6B Non-Thinking,Alibaba,7%
Qwen3 0.6B Thinking,Alibaba,12%
Qwen3 1.7B Thinking,Alibaba,31%
Qwen3 1.7B Non-Thinking,Alibaba,13%
Qwen3 14B Non-Thinking,Alibaba,28%
Qwen3 14B Thinking,Alibaba,52%
Qwen3 235B Thinking,Alibaba,62%
Qwen3 235B Non-Thinking,Alibaba,34%
Qwen3 235B 2507,Alibaba,52%
Qwen3 235B A22B 2507,Alibaba,79%
Qwen3 30B Thinking,Alibaba,51%
Qwen3 30B Non-Thinking,Alibaba,32%
Qwen3 30B A3B 2507 Thinking,Alibaba,71%
Qwen3 30B A3B 2507 Non-Thinking,Alibaba,52%
Qwen3 32B Non-Thinking,Alibaba,29%
Qwen3 32B Thinking,Alibaba,55%
Qwen3 4B Thinking,Alibaba,47%
Qwen3 4B Non-Thinking,Alibaba,23%
Qwen3 4B 2507 Non-Thinking,Alibaba,38%
Qwen3 4B 2507 Thinking,Alibaba,64%
Qwen3 8B Thinking,Alibaba,41%
Qwen3 8B Non-Thinking,Alibaba,20%
Qwen3 Coder 30B A3B,Alibaba,40%
Qwen3 Coder 480B,Alibaba,59%
Qwen3 Max,Alibaba,77%
Qwen3 Max (Preview),Alibaba,65%
Qwen3 Max Thinking,Alibaba,54%
Qwen3 Next 80B A3B Non-Thinking,Alibaba,68%
Qwen3 Next 80B A3B Thinking,Alibaba,78%
Qwen3 Omni 30B A3B Non-Thinking,Alibaba,42%
Qwen3 Omni 30B A3B Thinking,Alibaba,68%
Qwen3 VL 235B A22B Non-Thinking,Alibaba,59%
Qwen3 VL 235B A22B Thinking,Alibaba,65%
Qwen3 VL 30B A3B Non-Thinking,Alibaba,48%
Qwen3 VL 30B A3B Thinking,Alibaba,70%
Qwen3 VL 32B Non-Thinking,Alibaba,51%
Qwen3 VL 32B Thinking,Alibaba,74%
Qwen3 VL 4B Thinking,Alibaba,32%
Qwen3 VL 4B Non-Thinking,Alibaba,29%
Qwen3 VL 8B Non-Thinking,Alibaba,33%
Qwen3 VL 8B Thinking,Alibaba,35%
R1 1776,Perplexity,--
Reka Flash,Reka AI,--
Reka Flash 3,Reka AI,44%
Ring-1T,InclusionAI,64%
Ring-flash-2.0,InclusionAI,63%
Seed-OSS-36B-Instruct,ByteDance Seed,77%
Solar Mini,Upstage,--
Solar Pro 2 Non-Thinking,Upstage,42%
Solar Pro 2 Preview Non-Thinking,Upstage,39%
Solar Pro 2 Preview Thinking,Upstage,46%
Solar Pro 2 Thinking,Upstage,62%
Sonar,Perplexity,30%
Sonar Pro,Perplexity,28%
Sonar Reasoning,Perplexity,--
Sonar Reasoning Pro,Perplexity,--
Tulu3 405B,Allen Institute for AI,29%
gpt-oss-120B (high),OpenAI,88%
gpt-oss-120B (low),OpenAI,71%
gpt-oss-20B (high),OpenAI,78%
gpt-oss-20B (low),OpenAI,65%
o1,OpenAI,68%
o1-mini,OpenAI,58%
o1-preview,OpenAI,--
o1-pro,OpenAI,--
o3,OpenAI,81%
o3-mini,OpenAI,72%
o3-mini (high),OpenAI,73%
o3-pro,OpenAI,--
o4-mini (high),OpenAI,86%
