Model,Features Creator,Intelligence MMLU-Pro (Reasoning & Knowledge)
Kimi K2 0905,Kimi,82%
Claude 3.7 Sonnet,Anthropic,84%
Claude 4.5 Sonnet,Anthropic,86%
GPT-5 nano (medium),OpenAI,77%
GLM-4.5-Air,Z AI,82%
Nova 2.0 Omni (low),Amazon,80%
Grok Code Fast 1,xAI,79%
Qwen3 Max (Preview),Alibaba,84%
Kimi K2,Kimi,82%
o3-mini,OpenAI,79%
o1-pro,OpenAI,--
GPT-5.2,OpenAI,81%
Gemini 2.5 Flash-Lite (Sep),Google,81%
gpt-oss-120B (low),OpenAI,78%
o1,OpenAI,84%
Nova 2.0 Lite (low),Amazon,79%
Gemini 2.5 Flash (Sep),Google,84%
Qwen3 30B A3B 2507,Alibaba,81%
K2-V2 (high),MBZUAI Institute of Foundation Models,79%
Sonar Reasoning Pro,Perplexity,--
V3.2 Exp,DeepSeek,84%
M1 80k,MiniMax,82%
MiMo-V2-Flash,Xiaomi,74%
Gemini 2.5 Flash,Google,80%
V3.1 Terminus,DeepSeek,84%
Qwen3 235B 2507,Alibaba,83%
Qwen3 VL 30B A3B,Alibaba,81%
Grok 3,xAI,80%
Llama Nemotron Super 49B v1.5,NVIDIA,81%
Motif-2-12.7B,Motif Technologies,80%
o1-preview,OpenAI,--
Qwen3 Next 80B A3B,Alibaba,82%
Ling-1T,InclusionAI,82%
V3.1,DeepSeek,83%
GLM-4.6,Z AI,78%
Claude 4.1 Opus,Anthropic,--
HyperCLOVA X SEED Think (32B),Naver,79%
Claude 4 Sonnet,Anthropic,84%
gpt-oss-20B (low),OpenAI,72%
Qwen3 VL 235B A22B,Alibaba,82%
R1 (Jan),DeepSeek,84%
Mi:dm K 2.5 Pro Preview,Korea Telecom,81%
GPT-5 (minimal),OpenAI,81%
GPT-4.1,OpenAI,81%
Qwen3 4B 2507,Alibaba,74%
Magistral Small 1.2,Mistral,77%
GPT-5.1,OpenAI,80%
EXAONE 4.0 32B,LG AI Research,82%
GPT-4.1 mini,OpenAI,78%
Claude 4 Opus,Anthropic,86%
Qwen3 Coder 480B,Alibaba,79%
Nova 2.0 Pro Preview,Amazon,77%
Ring-1T,InclusionAI,81%
GPT-5 (ChatGPT),OpenAI,82%
Claude 4.5 Haiku,Anthropic,80%
Qwen3 235B,Alibaba,83%
Gemini 2.5 Flash-Lite (Sep),Google,80%
GPT-5 mini (minimal),OpenAI,78%
Hermes 4 405B,Nous Research,83%
Grok 3 Reasoning Beta,xAI,--
V3 0324,DeepSeek,82%
Claude 3.7 Sonnet,Anthropic,80%
Qwen3 VL 32B,Alibaba,79%
GLM-4.6V,Z AI,80%
Nemotron Nano 12B v2 VL,NVIDIA,76%
Gemini 2.5 Flash,Google,81%
Gemini 2.5 Flash-Lite,Google,76%
M1 40k,MiniMax,81%
K2-V2 (medium),MBZUAI Institute of Foundation Models,76%
Qwen3 Omni 30B A3B,Alibaba,79%
Ring-flash-2.0,InclusionAI,79%
o1-mini,OpenAI,74%
Hermes 4 70B,Nous Research,81%
Qwen3 32B,Alibaba,80%
Grok 4 Fast,xAI,73%
Llama Nemotron Ultra,NVIDIA,83%
Qwen3 VL 30B A3B,Alibaba,76%
Large 3,Mistral,81%
GPT-4.5 (Preview),OpenAI,--
Olmo 3.1 32B Think,Allen Institute for AI,76%
Ling-flash-2.0,InclusionAI,78%
Grok 4.1 Fast,xAI,74%
QwQ-32B,Alibaba,76%
Solar Pro 2,Upstage,81%
Gemini 2.0 Flash Thinking exp. (Jan),Google,80%
Nemotron Nano 9B V2,NVIDIA,74%
GLM-4.5V,Z AI,79%
Qwen3 30B A3B 2507,Alibaba,78%
Qwen3 30B,Alibaba,78%
Devstral 2,Mistral,76%
OLMo 3 32B Think,Allen Institute for AI,76%
Solar Pro 2,Upstage,77%
Nemotron Nano 9B V2,NVIDIA,74%
Qwen3 14B,Alibaba,77%
Llama 4 Maverick,Meta,81%
Nova 2.0 Lite,Amazon,74%
GPT-4o (Mar),OpenAI,80%
Llama 3.3 Nemotron Super 49B,NVIDIA,79%
Medium 3.1,Mistral,68%
Gemini 2.0 Pro Experimental,Google,81%
Sonar Reasoning,Perplexity,--
Gemini 2.5 Flash,Google,78%
Nova 2.0 Omni,Amazon,72%
Medium 3,Mistral,76%
Gemini 2.0 Flash,Google,78%
Qwen3 Coder 30B A3B,Alibaba,71%
Magistral Medium 1,Mistral,75%
ERNIE 4.5 300B A47B,Baidu,78%
R1 Distill Qwen 32B,DeepSeek,74%
Hermes 4 405B,Nous Research,73%
V3 (Dec),DeepSeek,75%
Nova Premier,Amazon,73%
Qwen3 VL 8B,Alibaba,75%
OLMo 3 7B Think,Allen Institute for AI,66%
Magistral Small 1,Mistral,75%
Gemini 2.0 Flash (exp),Google,78%
Devstral Small 2,Mistral,68%
K2-V2 (low),MBZUAI Institute of Foundation Models,71%
R1 0528 Qwen3 8B,DeepSeek,74%
Qwen2.5 Max,Alibaba,76%
Ministral 14B (Dec '25),Mistral,69%
GLM-4.6V,Z AI,75%
Qwen3 4B 2507,Alibaba,67%
EXAONE 4.0 32B,LG AI Research,77%
Solar Pro 2,Upstage,75%
Qwen3 Omni 30B A3B,Alibaba,73%
Gemini 2.5 Flash-Lite,Google,72%
Gemini 1.5 Pro (Sep),Google,75%
Solar Pro 2,Upstage,73%
Qwen3 235B,Alibaba,76%
R1 Distill Llama 70B,DeepSeek,80%
Claude 3.5 Sonnet (Oct),Anthropic,77%
R1 Distill Qwen 14B,DeepSeek,74%
Qwen3 14B,Alibaba,68%
Small 3.2,Mistral,68%
GPT-5 nano (minimal),OpenAI,56%
GPT-4o (Aug),OpenAI,--
Qwen2.5 72B,Alibaba,72%
Sonar,Perplexity,69%
Qwen3 8B,Alibaba,74%
Ministral 8B (Dec '25),Mistral,64%
Sonar Pro,Perplexity,76%
Llama 4 Scout,Meta,75%
Llama 3.1 405B,Meta,73%
QwQ 32B-Preview,Alibaba,65%
Llama 3.3 70B,Meta,71%
Devstral Medium,Mistral,71%
Ling-mini-2.0,InclusionAI,67%
Qwen3 VL 4B,Alibaba,70%
GPT-4.1 nano,OpenAI,66%
Devstral Small,Mistral,62%
Qwen3 VL 8B,Alibaba,69%
GPT-4o (Nov),OpenAI,75%
Command A,Cohere,71%
Gemini 2.0 Flash-Lite (Feb),Google,72%
Large 2 (Nov),Mistral,70%
Exaone 4.0 1.2B,LG AI Research,59%
Llama Nemotron Super 49B v1.5,NVIDIA,69%
Qwen3 30B,Alibaba,71%
Qwen3 32B,Alibaba,73%
GPT-4o (May),OpenAI,74%
Gemini 2.0 Flash-Lite (Preview),Google,--
Llama 3.1 Nemotron Nano 4B v1.1,NVIDIA,56%
Kimi Linear 48B A3B Instruct,Kimi,59%
GLM-4.5V,Z AI,75%
Reka Flash 3,Reka AI,67%
Llama 3.3 Nemotron Super 49B,NVIDIA,70%
Qwen3 4B,Alibaba,70%
Nemotron 3 Nano,NVIDIA,58%
Claude 3.5 Sonnet (June),Anthropic,75%
Nemotron Nano 12B v2 VL,NVIDIA,65%
Tulu3 405B,Allen Institute for AI,72%
GPT-4o (ChatGPT),OpenAI,77%
Qwen3 VL 4B,Alibaba,63%
Nova Pro,Amazon,69%
Pixtral Large,Mistral,70%
Small 3.1,Mistral,66%
Grok 2,xAI,71%
Gemini 1.5 Flash (Sep),Google,68%
GPT-4 Turbo,OpenAI,69%
Hermes 4 70B,Nous Research,66%
Llama 3.1 Nemotron 70B,NVIDIA,69%
Grok Beta,xAI,70%
Qwen3 8B,Alibaba,64%
Qwen2.5 Instruct 32B,Alibaba,70%
Granite 4.0 H Small,IBM,62%
Phi-4,Microsoft Azure,71%
Llama 3.1 70B,Meta,68%
Qwen3 1.7B,Alibaba,57%
Large 2 (Jul),Mistral,68%
OLMo 3 7B,Allen Institute for AI,52%
Gemma 3 27B,Google,67%
Qwen2.5 Coder 32B,Alibaba,64%
Ministral 3B (Dec '25),Mistral,52%
GPT-4,OpenAI,--
Nova Lite,Amazon,59%
Small 3,Mistral,65%
GPT-4o mini,OpenAI,65%
Jamba Reasoning 3B,AI21 Labs,58%
Jamba 1.7 Large,AI21 Labs,58%
-V2.5 (Dec),DeepSeek,--
Qwen3 4B,Alibaba,59%
Claude 3 Opus,Anthropic,70%
Exaone 4.0 1.2B,LG AI Research,50%
Gemma 3 12B,Google,60%
Claude 3.5 Haiku,Anthropic,63%
Gemini 2.0 Flash Thinking exp. (Dec),Google,--
-V2.5,DeepSeek,--
Devstral Small (May),Mistral,63%
Saba,Mistral,61%
R1 Distill Llama 8B,DeepSeek,54%
Gemini 1.5 Pro (May),Google,66%
R1 1776,Perplexity,--
Qwen2.5 Turbo,Alibaba,63%
Reka Flash,Reka AI,--
Llama 3.2 90B (Vision),Meta,67%
Solar Mini,Upstage,--
Grok-1,xAI,--
Qwen2 72B,Alibaba,62%
Nova Micro,Amazon,53%
LFM2 8B A1B,Liquid AI,51%
Llama 3.1 8B,Meta,48%
Gemini 1.5 Flash-8B,Google,57%
Granite 4.0 Micro,IBM,45%
Phi-4 Mini,Microsoft Azure,47%
DeepHermes 3 - Mistral 24B,Nous Research,58%
Llama 3.2 11B (Vision),Meta,46%
Gemma 3n E4B,Google,49%
Granite 3.3 8B,IBM,47%
Jamba 1.5 Large,AI21 Labs,57%
Jamba 1.7 Mini,AI21 Labs,39%
Gemma 3 4B,Google,42%
Hermes 3 - Llama-3.1 70B,Nous Research,57%
-Coder-V2,DeepSeek,--
Qwen3 1.7B,Alibaba,41%
OLMo 2 32B,Allen Institute for AI,51%
Jamba 1.6 Large,AI21 Labs,56%
Qwen3 0.6B,Alibaba,35%
Gemini 1.5 Flash (May),Google,57%
Granite 4.0 H 1B,IBM,28%
Claude 3 Sonnet,Anthropic,58%
Granite 4.0 1B,IBM,33%
Llama 3 70B,Meta,57%
Small (Sep),Mistral,53%
Gemini 1.0 Ultra,Google,--
Phi-3 Mini,Microsoft Azure,44%
Gemma 3n E4B (May),Google,48%
Phi-4 Multimodal,Microsoft Azure,49%
Qwen2.5 Coder 7B,Alibaba,47%
Large (Feb),Mistral,52%
LFM2 2.6B,Liquid AI,30%
Mixtral 8x22B,Mistral,54%
Llama 2 Chat 7B,Meta,16%
Gemma 3n E2B,Google,38%
Llama 3.2 3B,Meta,35%
Qwen3 0.6B,Alibaba,23%
Qwen1.5 Chat 110B,Alibaba,--
LFM2 1.2B,Liquid AI,26%
Claude 2.1,Anthropic,50%
Claude 3 Haiku,Anthropic,--
OLMo 2 7B,Allen Institute for AI,28%
Molmo 7B-D,Allen Institute for AI,37%
Llama 3.2 1B,Meta,20%
R1 Distill Qwen 1.5B,DeepSeek,27%
Claude 2.0,Anthropic,49%
-V2,DeepSeek,--
Small (Feb),Mistral,42%
Medium,Mistral,49%
GPT-3.5 Turbo,OpenAI,46%
Granite 4.0 H 350M,IBM,13%
Granite 4.0 350M,IBM,12%
Arctic,Snowflake,--
Qwen Chat 72B,Alibaba,--
LFM 40B,Liquid AI,43%
Llama 3 8B,Meta,41%
Gemma 3 1B,Google,14%
PALM-2,Google,--
Gemini 1.0 Pro,Google,43%
Coder V2 Lite,DeepSeek,43%
Gemma 3 270M,Google,6%
Llama 2 Chat 70B,Meta,41%
LLM 67B (V1),DeepSeek,--
Llama 2 Chat 13B,Meta,41%
Command-R+ (Apr),Cohere,43%
3.5,OpenChat,31%
DBRX,Databricks,40%
Jamba 1.5 Mini,AI21 Labs,37%
Jamba 1.6 Mini,AI21 Labs,37%
Mixtral 8x7B,Mistral,39%
DeepHermes 3 - Llama-3.1 8B,Nous Research,37%
Llama 65B,Meta,--
Qwen Chat 14B,Alibaba,--
Claude Instant,Anthropic,43%
7B,Mistral,25%
Command-R (Mar),Cohere,34%
-OCR,DeepSeek,--
Grok Voice Agent,xAI,--
Cogito v2.1,Deep Cogito,85%
GPT-4o Realtime (Dec),OpenAI,--
GPT-4o mini Realtime (Dec),OpenAI,--
GPT-3.5 Turbo (0613),OpenAI,--
