Model,Features Creator,Intelligence Humanity's Last Exam (Reasoning & Knowledge)
Claude 4.5 Haiku,Anthropic,4%
Qwen3 235B,Alibaba,12%
Gemini 2.5 Flash-Lite (Sep),Google,5%
GPT-5 mini (minimal),OpenAI,5%
Hermes 4 405B,Nous Research,10%
Grok 3 Reasoning Beta,xAI,--
V3 0324,DeepSeek,5%
Claude 3.7 Sonnet,Anthropic,5%
Qwen3 VL 32B,Alibaba,6%
GLM-4.6V,Z AI,9%
Nemotron Nano 12B v2 VL,NVIDIA,5%
Gemini 2.5 Flash,Google,5%
Gemini 2.5 Flash-Lite,Google,6%
M1 40k,MiniMax,8%
K2-V2 (medium),MBZUAI Institute of Foundation Models,4%
Qwen3 Omni 30B A3B,Alibaba,7%
Ring-flash-2.0,InclusionAI,9%
o1-mini,OpenAI,5%
Hermes 4 70B,Nous Research,8%
Qwen3 32B,Alibaba,8%
Grok 4 Fast,xAI,5%
Llama Nemotron Ultra,NVIDIA,8%
Qwen3 VL 30B A3B,Alibaba,6%
Large 3,Mistral,4%
GPT-4.5 (Preview),OpenAI,--
Olmo 3.1 32B Think,Allen Institute for AI,6%
Ling-flash-2.0,InclusionAI,6%
Grok 4.1 Fast,xAI,5%
QwQ-32B,Alibaba,8%
Solar Pro 2,Upstage,7%
Gemini 2.0 Flash Thinking exp. (Jan),Google,7%
Nemotron Nano 9B V2,NVIDIA,5%
GLM-4.5V,Z AI,6%
Qwen3 30B A3B 2507,Alibaba,7%
Qwen3 30B,Alibaba,7%
Devstral 2,Mistral,4%
OLMo 3 32B Think,Allen Institute for AI,6%
Solar Pro 2,Upstage,6%
Nemotron Nano 9B V2,NVIDIA,4%
Qwen3 14B,Alibaba,4%
Llama 4 Maverick,Meta,5%
Nova 2.0 Lite,Amazon,3%
GPT-4o (Mar),OpenAI,5%
Llama 3.3 Nemotron Super 49B,NVIDIA,7%
Medium 3.1,Mistral,4%
Gemini 2.0 Pro Experimental,Google,7%
Sonar Reasoning,Perplexity,--
Gemini 2.5 Flash,Google,5%
Nova 2.0 Omni,Amazon,4%
Medium 3,Mistral,4%
Gemini 2.0 Flash,Google,5%
Qwen3 Coder 30B A3B,Alibaba,4%
Magistral Medium 1,Mistral,10%
ERNIE 4.5 300B A47B,Baidu,4%
R1 Distill Qwen 32B,DeepSeek,6%
Hermes 4 405B,Nous Research,4%
V3 (Dec),DeepSeek,4%
Nova Premier,Amazon,5%
Qwen3 VL 8B,Alibaba,3%
OLMo 3 7B Think,Allen Institute for AI,6%
Magistral Small 1,Mistral,7%
Gemini 2.0 Flash (exp),Google,5%
Devstral Small 2,Mistral,3%
K2-V2 (low),MBZUAI Institute of Foundation Models,4%
R1 0528 Qwen3 8B,DeepSeek,6%
Qwen2.5 Max,Alibaba,5%
Ministral 14B (Dec '25),Mistral,5%
GLM-4.6V,Z AI,4%
Qwen3 4B 2507,Alibaba,5%
EXAONE 4.0 32B,LG AI Research,5%
Solar Pro 2,Upstage,4%
Qwen3 Omni 30B A3B,Alibaba,5%
Gemini 2.5 Flash-Lite,Google,4%
Gemini 1.5 Pro (Sep),Google,5%
Solar Pro 2,Upstage,4%
Qwen3 235B,Alibaba,5%
R1 Distill Llama 70B,DeepSeek,6%
Claude 3.5 Sonnet (Oct),Anthropic,4%
R1 Distill Qwen 14B,DeepSeek,4%
Qwen3 14B,Alibaba,4%
Small 3.2,Mistral,4%
GPT-5 nano (minimal),OpenAI,4%
GPT-4o (Aug),OpenAI,3%
Qwen2.5 72B,Alibaba,4%
Sonar,Perplexity,7%
Qwen3 8B,Alibaba,4%
Ministral 8B (Dec '25),Mistral,4%
Sonar Pro,Perplexity,8%
Llama 4 Scout,Meta,4%
Llama 3.1 405B,Meta,4%
QwQ 32B-Preview,Alibaba,5%
Llama 3.3 70B,Meta,4%
Devstral Medium,Mistral,4%
Ling-mini-2.0,InclusionAI,5%
Qwen3 VL 4B,Alibaba,4%
GPT-4.1 nano,OpenAI,4%
Devstral Small,Mistral,4%
Qwen3 VL 8B,Alibaba,3%
GPT-4o (Nov),OpenAI,3%
Command A,Cohere,5%
Gemini 2.0 Flash-Lite (Feb),Google,4%
Large 2 (Nov),Mistral,4%
Exaone 4.0 1.2B,LG AI Research,6%
Llama Nemotron Super 49B v1.5,NVIDIA,4%
Qwen3 30B,Alibaba,5%
Qwen3 32B,Alibaba,4%
GPT-4o (May),OpenAI,3%
Gemini 2.0 Flash-Lite (Preview),Google,4%
Llama 3.1 Nemotron Nano 4B v1.1,NVIDIA,5%
Kimi Linear 48B A3B Instruct,Kimi,3%
GLM-4.5V,Z AI,4%
Reka Flash 3,Reka AI,5%
Llama 3.3 Nemotron Super 49B,NVIDIA,4%
Qwen3 4B,Alibaba,5%
Nemotron 3 Nano,NVIDIA,5%
Claude 3.5 Sonnet (June),Anthropic,4%
Nemotron Nano 12B v2 VL,NVIDIA,5%
Tulu3 405B,Allen Institute for AI,4%
GPT-4o (ChatGPT),OpenAI,4%
Qwen3 VL 4B,Alibaba,4%
Nova Pro,Amazon,3%
Pixtral Large,Mistral,4%
Small 3.1,Mistral,5%
Grok 2,xAI,4%
Gemini 1.5 Flash (Sep),Google,4%
GPT-4 Turbo,OpenAI,3%
Hermes 4 70B,Nous Research,4%
Llama 3.1 Nemotron 70B,NVIDIA,5%
Grok Beta,xAI,5%
Qwen3 8B,Alibaba,3%
Qwen2.5 Instruct 32B,Alibaba,4%
Granite 4.0 H Small,IBM,4%
Phi-4,Microsoft Azure,4%
Llama 3.1 70B,Meta,5%
Qwen3 1.7B,Alibaba,5%
Large 2 (Jul),Mistral,3%
OLMo 3 7B,Allen Institute for AI,6%
Gemma 3 27B,Google,5%
Qwen2.5 Coder 32B,Alibaba,4%
Ministral 3B (Dec '25),Mistral,5%
GPT-4,OpenAI,--
Nova Lite,Amazon,5%
Small 3,Mistral,4%
GPT-4o mini,OpenAI,4%
Jamba Reasoning 3B,AI21 Labs,5%
Jamba 1.7 Large,AI21 Labs,4%
-V2.5 (Dec),DeepSeek,--
Qwen3 4B,Alibaba,4%
Claude 3 Opus,Anthropic,3%
Exaone 4.0 1.2B,LG AI Research,6%
Gemma 3 12B,Google,5%
Claude 3.5 Haiku,Anthropic,4%
Gemini 2.0 Flash Thinking exp. (Dec),Google,--
-V2.5,DeepSeek,--
Devstral Small (May),Mistral,4%
Saba,Mistral,4%
R1 Distill Llama 8B,DeepSeek,4%
Gemini 1.5 Pro (May),Google,4%
R1 1776,Perplexity,--
Qwen2.5 Turbo,Alibaba,4%
Reka Flash,Reka AI,--
Llama 3.2 90B (Vision),Meta,5%
Solar Mini,Upstage,--
Grok-1,xAI,--
Qwen2 72B,Alibaba,4%
Nova Micro,Amazon,5%
LFM2 8B A1B,Liquid AI,5%
Llama 3.1 8B,Meta,5%
Gemini 1.5 Flash-8B,Google,5%
Granite 4.0 Micro,IBM,5%
Phi-4 Mini,Microsoft Azure,4%
DeepHermes 3 - Mistral 24B,Nous Research,4%
Llama 3.2 11B (Vision),Meta,5%
Gemma 3n E4B,Google,4%
Granite 3.3 8B,IBM,4%
Jamba 1.5 Large,AI21 Labs,4%
Jamba 1.7 Mini,AI21 Labs,5%
Gemma 3 4B,Google,5%
Hermes 3 - Llama-3.1 70B,Nous Research,4%
-Coder-V2,DeepSeek,--
Qwen3 1.7B,Alibaba,5%
OLMo 2 32B,Allen Institute for AI,4%
Jamba 1.6 Large,AI21 Labs,4%
Qwen3 0.6B,Alibaba,6%
Gemini 1.5 Flash (May),Google,4%
Granite 4.0 H 1B,IBM,5%
Claude 3 Sonnet,Anthropic,4%
Granite 4.0 1B,IBM,5%
Llama 3 70B,Meta,4%
Small (Sep),Mistral,4%
Gemini 1.0 Ultra,Google,--
Phi-3 Mini,Microsoft Azure,4%
Gemma 3n E4B (May),Google,5%
Phi-4 Multimodal,Microsoft Azure,4%
Qwen2.5 Coder 7B,Alibaba,5%
Large (Feb),Mistral,3%
LFM2 2.6B,Liquid AI,5%
Mixtral 8x22B,Mistral,4%
Llama 2 Chat 7B,Meta,6%
Gemma 3n E2B,Google,4%
Llama 3.2 3B,Meta,5%
Qwen3 0.6B,Alibaba,5%
Qwen1.5 Chat 110B,Alibaba,--
LFM2 1.2B,Liquid AI,6%
Claude 2.1,Anthropic,4%
Claude 3 Haiku,Anthropic,--
OLMo 2 7B,Allen Institute for AI,6%
Molmo 7B-D,Allen Institute for AI,5%
Llama 3.2 1B,Meta,5%
R1 Distill Qwen 1.5B,DeepSeek,3%
Claude 2.0,Anthropic,--
-V2,DeepSeek,--
Small (Feb),Mistral,4%
Medium,Mistral,3%
GPT-3.5 Turbo,OpenAI,--
Granite 4.0 H 350M,IBM,6%
Granite 4.0 350M,IBM,6%
Arctic,Snowflake,--
Qwen Chat 72B,Alibaba,--
LFM 40B,Liquid AI,5%
Llama 3 8B,Meta,5%
Gemma 3 1B,Google,5%
PALM-2,Google,--
Gemini 1.0 Pro,Google,5%
Coder V2 Lite,DeepSeek,5%
Gemma 3 270M,Google,4%
Llama 2 Chat 70B,Meta,5%
LLM 67B (V1),DeepSeek,--
Llama 2 Chat 13B,Meta,5%
Command-R+ (Apr),Cohere,5%
3.5,OpenChat,5%
DBRX,Databricks,7%
Jamba 1.5 Mini,AI21 Labs,5%
Jamba 1.6 Mini,AI21 Labs,5%
Mixtral 8x7B,Mistral,5%
DeepHermes 3 - Llama-3.1 8B,Nous Research,4%
Llama 65B,Meta,--
Qwen Chat 14B,Alibaba,--
Claude Instant,Anthropic,4%
7B,Mistral,4%
Command-R (Mar),Cohere,5%
-OCR,DeepSeek,--
Grok Voice Agent,xAI,--
Cogito v2.1,Deep Cogito,11%
GPT-4o Realtime (Dec),OpenAI,--
GPT-4o mini Realtime (Dec),OpenAI,--
GPT-3.5 Turbo (0613),OpenAI,--
