Model,Features Creator,Intelligence 𝜏²-Bench Telecom (Agentic Tool Use)
GPT-4o mini Realtime (Dec),OpenAI,--
GPT-5 (ChatGPT),OpenAI,0%
GPT-5 (high),OpenAI,85%
GPT-5 (low),OpenAI,84%
GPT-5 (medium),OpenAI,87%
GPT-5 (minimal),OpenAI,67%
GPT-5 Codex (high),OpenAI,87%
GPT-5 mini (high),OpenAI,68%
GPT-5 mini (medium),OpenAI,71%
GPT-5 mini (minimal),OpenAI,32%
GPT-5 nano (high),OpenAI,37%
GPT-5 nano (medium),OpenAI,30%
GPT-5 nano (minimal),OpenAI,26%
GPT-5.1,OpenAI,47%
GPT-5.1 (high),OpenAI,82%
GPT-5.1 Codex (high),OpenAI,83%
GPT-5.1 Codex mini (high),OpenAI,63%
GPT-5.2,OpenAI,47%
GPT-5.2 (xhigh),OpenAI,85%
Gemini 1.0 Pro,Google,--
Gemini 1.0 Ultra,Google,--
Gemini 1.5 Flash (May),Google,--
Gemini 1.5 Flash (Sep),Google,--
Gemini 1.5 Flash-8B,Google,--
Gemini 1.5 Pro (May),Google,--
Gemini 1.5 Pro (Sep),Google,--
Gemini 2.0 Flash,Google,30%
Gemini 2.0 Flash (exp),Google,--
Gemini 2.0 Flash Thinking exp. (Dec),Google,--
Gemini 2.0 Flash Thinking exp. (Jan),Google,--
Gemini 2.0 Flash-Lite (Feb),Google,--
Gemini 2.0 Flash-Lite (Preview),Google,--
Gemini 2.0 Pro Experimental,Google,--
Gemini 2.5 Flash Thinking 2504,Google,--
Gemini 2.5 Flash Non-Thinking 2504,Google,--
Gemini 2.5 Flash Non-Thinking 2505,Google,15%
Gemini 2.5 Flash Thinking 2505,Google,32%
Gemini 2.5 Flash (Sep) Non-Thinking,Google,28%
Gemini 2.5 Flash (Sep) Thinking,Google,46%
Gemini 2.5 Flash-Lite Thinking,Google,18%
Gemini 2.5 Flash-Lite Non-Thinking,Google,19%
Gemini 2.5 Flash-Lite (Sep) Thinking,Google,31%
Gemini 2.5 Flash-Lite (Sep) Non-Thinking,Google,30%
Gemini 2.5 Pro,Google,54%
Gemini 2.5 Pro (Mar),Google,--
Gemini 2.5 Pro (May),Google,--
Gemini 3 Flash Thinking,Google,80%
Gemini 3 Flash Non-Thinking,Google,43%
Gemini 3 Pro Preview (high),Google,87%
Gemini 3 Pro Preview (low),Google,68%
Gemma 3 12B,Google,11%
Gemma 3 1B,Google,0%
Gemma 3 270M,Google,9%
Gemma 3 27B,Google,11%
Gemma 3 4B,Google,5%
Gemma 3n E2B,Google,0%
Gemma 3n E4B,Google,5%
Gemma 3n E4B (May),Google,--
Granite 3.3 8B,IBM,11%
Granite 4.0 1B,IBM,23%
Granite 4.0 350M,IBM,13%
Granite 4.0 H 1B,IBM,20%
Granite 4.0 H 350M,IBM,15%
Granite 4.0 H Small,IBM,17%
Granite 4.0 Micro,IBM,13%
Grok 2,xAI,--
Grok 3,xAI,49%
Grok 3 Reasoning Beta,xAI,--
Grok 3 mini Reasoning (high),xAI,90%
Grok 4,xAI,75%
Grok 4 Fast Thinking,xAI,66%
Grok 4 Fast Non-Thinking,xAI,64%
Grok 4.1 Fast Non-Thinking,xAI,64%
Grok 4.1 Fast Thinking,xAI,93%
Grok Beta,xAI,--
Grok Code Fast 1,xAI,76%
Grok Voice Agent,xAI,--
Grok-1,xAI,--
Hermes 3 - Llama-3.1 70B,Nous Research,--
Hermes 4 405B Non-Thinking,Nous Research,27%
Hermes 4 405B Thinking,Nous Research,22%
Hermes 4 70B Thinking,Nous Research,23%
Hermes 4 70B Non-Thinking,Nous Research,22%
HyperCLOVA X SEED Think (32B),Naver,87%
Jamba 1.5 Large,AI21 Labs,--
Jamba 1.5 Mini,AI21 Labs,--
Jamba 1.6 Large,AI21 Labs,--
Jamba 1.6 Mini,AI21 Labs,--
Jamba 1.7 Large,AI21 Labs,14%
Jamba 1.7 Mini,AI21 Labs,13%
Jamba Reasoning 3B,AI21 Labs,16%
K2-V2 (high),MBZUAI Institute of Foundation Models,28%
K2-V2 (low),MBZUAI Institute of Foundation Models,21%
K2-V2 (medium),MBZUAI Institute of Foundation Models,25%
KAT-Coder-Pro V1,KwaiKAT,89%
Kimi K2,Kimi,61%
Kimi K2 0905,Kimi,73%
Kimi K2 Thinking,Kimi,93%
Kimi Linear 48B A3B Instruct,Kimi,0%
LFM 40B,Liquid AI,--
LFM2 1.2B,Liquid AI,13%
LFM2 2.6B,Liquid AI,14%
LFM2 8B A1B,Liquid AI,11%
Ling-1T,InclusionAI,33%
Ling-flash-2.0,InclusionAI,21%
Ling-mini-2.0,InclusionAI,13%
Llama 2 Chat 13B,Meta,--
Llama 2 Chat 70B,Meta,--
Llama 2 Chat 7B,Meta,--
Llama 3 70B,Meta,--
Llama 3 8B,Meta,--
Llama 3.1 405B,Meta,19%
Llama 3.1 70B,Meta,15%
Llama 3.1 8B,Meta,16%
Llama 3.1 Nemotron 70B,NVIDIA,23%
Llama 3.1 Nemotron Nano 4B v1.1,NVIDIA,12%
Llama 3.2 11B (Vision),Meta,15%
Llama 3.2 1B,Meta,12%
Llama 3.2 3B,Meta,21%
Llama 3.2 90B (Vision),Meta,--
Llama 3.3 70B,Meta,27%
Llama 3.3 Nemotron Super 49B Non-Thinking,NVIDIA,--
Llama 3.3 Nemotron Super 49B Thinking,NVIDIA,--
Llama 4 Maverick,Meta,18%
Llama 4 Scout,Meta,16%
Llama 65B,Meta,--
Llama Nemotron Super 49B v1.5 Thinking,NVIDIA,28%
Llama Nemotron Super 49B v1.5 Non-Thinking,NVIDIA,25%
Llama Nemotron Ultra,NVIDIA,11%
Magistral Medium 1,Mistral,23%
Magistral Medium 1.2,Mistral,52%
Magistral Small 1,Mistral,27%
Magistral Small 1.2,Mistral,28%
Mi:dm K 2.5 Pro Preview,Korea Telecom,49%
MiMo-V2-Flash Thinking,Xiaomi,95%
MiMo-V2-Flash Non-Thinking,Xiaomi,84%
MiniMax M1 40k,MiniMax,32%
MiniMax M1 80k,MiniMax,34%
MiniMax-M2,MiniMax,87%
MiniMax-M2.1,MiniMax,85%
Ministral 14B (Dec '25),Mistral,27%
Ministral 3B (Dec '25),Mistral,25%
Ministral 8B (Dec '25),Mistral,27%
Mistral 7B,Mistral,--
Mistral Large (Feb),Mistral,--
Mistral Large 2 (Jul),Mistral,33%
Mistral Large 2 (Nov),Mistral,31%
Mistral Large 3,Mistral,25%
Mistral Medium,Mistral,--
Mistral Medium 3,Mistral,24%
Mistral Medium 3.1,Mistral,41%
Mistral Saba,Mistral,--
Mistral Small (Feb),Mistral,--
Mistral Small (Sep),Mistral,--
Mistral Small 3,Mistral,20%
Mistral Small 3.1,Mistral,25%
Mistral Small 3.2,Mistral,30%
Mixtral 8x22B,Mistral,--
Mixtral 8x7B,Mistral,--
Molmo 7B-D,Allen Institute for AI,0%
Motif-2-12.7B,Motif Technologies,47%
NVIDIA Nemotron 3 Nano Non-Thinking,NVIDIA,25%
NVIDIA Nemotron 3 Nano Thinking,NVIDIA,41%
NVIDIA Nemotron Nano 12B v2 VL Non-Thinking,NVIDIA,19%
NVIDIA Nemotron Nano 12B v2 VL Thinking,NVIDIA,21%
NVIDIA Nemotron Nano 9B V2 Non-Thinking,NVIDIA,23%
NVIDIA Nemotron Nano 9B V2 Thinking,NVIDIA,22%
Nova 2.0 Lite,Amazon,62%
Nova 2.0 Lite (low),Amazon,72%
Nova 2.0 Lite (medium),Amazon,76%
Nova 2.0 Omni,Amazon,45%
Nova 2.0 Omni (low),Amazon,68%
Nova 2.0 Omni (medium),Amazon,80%
Nova 2.0 Pro Preview,Amazon,72%
Nova 2.0 Pro Preview (low),Amazon,91%
Nova 2.0 Pro Preview (medium),Amazon,93%
Nova Lite,Amazon,18%
Nova Micro,Amazon,14%
Nova Premier,Amazon,38%
Nova Pro,Amazon,14%
OLMo 2 32B,Allen Institute for AI,0%
OLMo 2 7B,Allen Institute for AI,0%
OLMo 3 32B Think,Allen Institute for AI,0%
OLMo 3 7B,Allen Institute for AI,13%
OLMo 3 7B Think,Allen Institute for AI,0%
Olmo 3.1 32B Think,Allen Institute for AI,0%
OpenChat 3.5,OpenChat,--
PALM-2,Google,--
Phi-3 Mini,Microsoft Azure,0%
Phi-4,Microsoft Azure,0%
Phi-4 Mini,Microsoft Azure,8%
Phi-4 Multimodal,Microsoft Azure,--
Pixtral Large,Mistral,37%
QwQ 32B-Preview,Alibaba,--
QwQ-32B,Alibaba,--
Qwen Chat 14B,Alibaba,--
Qwen Chat 72B,Alibaba,--
Qwen1.5 Chat 110B,Alibaba,--
Qwen2 72B,Alibaba,--
Qwen2.5 72B,Alibaba,35%
Qwen2.5 Coder 32B,Alibaba,--
Qwen2.5 Coder 7B,Alibaba,--
Qwen2.5 Instruct 32B,Alibaba,--
Qwen2.5 Max,Alibaba,--
Qwen2.5 Turbo,Alibaba,--
Qwen3 0.6B Non-Thinking,Alibaba,15%
Qwen3 0.6B Thinking,Alibaba,21%
Qwen3 1.7B Thinking,Alibaba,26%
Qwen3 1.7B Non-Thinking,Alibaba,22%
Qwen3 14B Non-Thinking,Alibaba,32%
Qwen3 14B Thinking,Alibaba,35%
Qwen3 235B Thinking,Alibaba,24%
Qwen3 235B Non-Thinking,Alibaba,27%
Qwen3 235B 2507,Alibaba,33%
Qwen3 235B A22B 2507,Alibaba,53%
Qwen3 30B Thinking,Alibaba,26%
Qwen3 30B Non-Thinking,Alibaba,--
Qwen3 30B A3B 2507 Thinking,Alibaba,28%
Qwen3 30B A3B 2507 Non-Thinking,Alibaba,10%
Qwen3 32B Non-Thinking,Alibaba,--
Qwen3 32B Thinking,Alibaba,30%
Qwen3 4B Thinking,Alibaba,19%
Qwen3 4B Non-Thinking,Alibaba,--
Qwen3 4B 2507 Non-Thinking,Alibaba,27%
Qwen3 4B 2507 Thinking,Alibaba,25%
Qwen3 8B Thinking,Alibaba,28%
Qwen3 8B Non-Thinking,Alibaba,25%
Qwen3 Coder 30B A3B,Alibaba,35%
Qwen3 Coder 480B,Alibaba,44%
Qwen3 Max,Alibaba,74%
Qwen3 Max (Preview),Alibaba,33%
Qwen3 Max Thinking,Alibaba,84%
Qwen3 Next 80B A3B Non-Thinking,Alibaba,22%
Qwen3 Next 80B A3B Thinking,Alibaba,42%
Qwen3 Omni 30B A3B Non-Thinking,Alibaba,16%
Qwen3 Omni 30B A3B Thinking,Alibaba,21%
Qwen3 VL 235B A22B Non-Thinking,Alibaba,35%
Qwen3 VL 235B A22B Thinking,Alibaba,54%
Qwen3 VL 30B A3B Non-Thinking,Alibaba,19%
Qwen3 VL 30B A3B Thinking,Alibaba,20%
Qwen3 VL 32B Non-Thinking,Alibaba,29%
Qwen3 VL 32B Thinking,Alibaba,46%
Qwen3 VL 4B Thinking,Alibaba,16%
Qwen3 VL 4B Non-Thinking,Alibaba,23%
Qwen3 VL 8B Non-Thinking,Alibaba,29%
Qwen3 VL 8B Thinking,Alibaba,23%
R1 1776,Perplexity,--
Reka Flash,Reka AI,--
Reka Flash 3,Reka AI,0%
Ring-1T,InclusionAI,26%
Ring-flash-2.0,InclusionAI,0%
Seed-OSS-36B-Instruct,ByteDance Seed,49%
Solar Mini,Upstage,20%
Solar Pro 2 Non-Thinking,Upstage,32%
Solar Pro 2 Preview Non-Thinking,Upstage,--
Solar Pro 2 Preview Thinking,Upstage,--
Solar Pro 2 Thinking,Upstage,28%
Sonar,Perplexity,--
Sonar Pro,Perplexity,--
Sonar Reasoning,Perplexity,--
Sonar Reasoning Pro,Perplexity,--
Tulu3 405B,Allen Institute for AI,--
gpt-oss-120B (high),OpenAI,66%
gpt-oss-120B (low),OpenAI,45%
gpt-oss-20B (high),OpenAI,60%
gpt-oss-20B (low),OpenAI,50%
o1,OpenAI,63%
o1-mini,OpenAI,--
o1-preview,OpenAI,--
o1-pro,OpenAI,--
o3,OpenAI,81%
o3-mini,OpenAI,29%
o3-mini (high),OpenAI,31%
o3-pro,OpenAI,--
o4-mini (high),OpenAI,56%
