model_name,elo_overall,elo_math,elo_coding,elo_instruction_following,elo_creative_writing,elo_hard_prompts,elo_expert,AIME_score,AIME_rank,FrontierMath_Tier_1-3_score,FrontierMath_Tier_1-3_rank,FrontierMath_Tier_4_score,FrontierMath_Tier_4_rank,HMMT_Feb_2025_score,HMMT_Feb_2025_rank,MATH-500_score,MATH-500_rank,MGSM_score,MGSM_rank,Aider_Polyglot_score,Aider_Polyglot_rank,HumanEval_score,HumanEval_rank,IOI_score,IOI_rank,LiveCodeBench_score,LiveCodeBench_rank,SciCode_score,SciCode_rank,SWE-bench_Verified_score,SWE-bench_Verified_rank,SWE-bench_Bash_Only_score,SWE-bench_Bash_Only_rank,tau2-Bench_Telecom_score,tau2-Bench_Telecom_rank,Terminal-Bench_Hard_score,Terminal-Bench_Hard_rank,Terminal-Bench_v2_0_score,Terminal-Bench_v2_0_rank,IFBench_score,IFBench_rank,IFEval_score,IFEval_rank,Creative_Writing_v3_score,Creative_Writing_v3_rank,WritingBench_score,WritingBench_rank,AA-LCR_score,AA-LCR_rank,ARC-AGI-2_score,ARC-AGI-2_rank,FACTS_score,FACTS_rank,MMLU-Pro_score,MMLU-Pro_rank,GPQA_score,GPQA_rank,GPQA_Diamond_score,GPQA_Diamond_rank,Humanity_s_Last_Exam_score,Humanity_s_Last_Exam_rank,SuperGPQA_score,SuperGPQA_rank
mistral-medium-2508,1411.0,1402.0,1453.0,1398.0,1379.0,1430.0,1405.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mistral-small-2506,1355.0,1346.0,1412.0,1334.0,1323.0,1371.0,1329.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70.6,31,84.2182,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,623.1,28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
nova-2-lite,1334.0,1345.0,1399.0,1327.0,1268.0,1367.0,1360.0,34.0,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.0,57,24.0,61,NaN,NaN,NaN,NaN,62.0,21,6.0,47,NaN,NaN,41.0,37,NaN,NaN,NaN,NaN,NaN,NaN,18.0,52,NaN,NaN,NaN,NaN,74.0,55,NaN,NaN,60.0,56,3.0,66,NaN,NaN
o1-2024-12-17,1401.0,1410.0,1430.0,1401.0,1380.0,1415.0,1397.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90.4,17,89.3091,32,61.7,9,88.1,8,NaN,NaN,68.0,26,36.0,36,41.0,24,NaN,NaN,63.0,20,12.0,39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.0,16,78.0,19,75.0,31,8.0,34,78.0,19
o1-mini,1336.0,1364.0,1386.0,1328.0,1280.0,1357.0,1347.0,NaN,NaN,1.7,25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.9,25,92.4,3,NaN,NaN,58.0,41,32.0,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.8,18,NaN,NaN,74.0,55,NaN,NaN,60.0,56,5.0,45,NaN,NaN
o1-preview,1387.0,1387.0,1414.0,1375.0,1364.0,1394.0,1376.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.3,23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63.438,25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
o3-2025-04-16,1433.0,1455.0,1456.0,1399.0,1383.0,1440.0,1444.0,88.0,13,NaN,NaN,NaN,NaN,NaN,NaN,94.6,6,91.7455,19,76.9,4,NaN,NaN,NaN,NaN,81.0,11,41.0,10,69.1,9,NaN,NaN,81.0,9,35.0,5,NaN,NaN,71.0,5,NaN,NaN,1613.8,2,80.46,3,69.0,5,NaN,NaN,51.99995583252819,4,85.0,11,83.3,8,83.0,8,20.0,8,83.3,8
o3-mini,1348.0,1386.0,1413.0,1340.0,1302.0,1368.0,1362.0,NaN,NaN,8.1,14,NaN,NaN,NaN,NaN,91.8,13,91.3455,20,53.8,14,NaN,NaN,NaN,NaN,72.0,23,40.0,14,49.3,20,NaN,NaN,29.0,50,6.0,47,NaN,NaN,NaN,NaN,93.9,1,NaN,NaN,68.02,22,NaN,NaN,2.1,15,NaN,NaN,79.0,45,77.2,22,75.0,31,9.0,31,77.2,22
o3-mini-high,1362.0,1409.0,1432.0,1361.0,1310.0,1398.0,1394.0,NaN,NaN,12.4,11,4.2,6,NaN,NaN,NaN,NaN,NaN,NaN,60.4,11,NaN,NaN,NaN,NaN,73.0,22,40.0,14,NaN,NaN,NaN,NaN,31.0,47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.0,12,NaN,NaN,80.0,41,NaN,NaN,77.0,24,12.0,19,NaN,NaN
o4-mini-2025-04-16,1391.0,1419.0,1429.0,1365.0,1339.0,1404.0,1406.0,91.0,7,24.8,5,6.3,4,NaN,NaN,94.2,8,93.4182,6,72.0,5,NaN,NaN,4.8333,15,86.0,5,47.0,3,68.10000000000001,10,45.0,12,56.0,23,14.0,33,NaN,NaN,69.0,7,NaN,NaN,NaN,NaN,72.904,17,55.0,21,6.1,6,37.63510088190263,13,83.0,26,81.39999999999999,12,78.0,18,18.0,11,81.39999999999999,12
qwen-plus-0125,1344.0,1327.0,1377.0,1328.0,1315.0,1350.0,1366.0,NaN,NaN,1.7,25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
qwen2.5-max,1373.0,1368.0,1400.0,1353.0,1353.0,1382.0,1364.0,NaN,NaN,1.0,29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.0,56,34.0,46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76.0,53,NaN,NaN,59.0,58,5.0,45,NaN,NaN
qwen3-235b-a22b,1374.0,1401.0,1432.0,1355.0,1329.0,1390.0,1381.0,91.0,7,NaN,NaN,NaN,NaN,NaN,NaN,94.6,6,92.4727,12,NaN,NaN,NaN,NaN,0.0,20,79.0,14,42.0,9,NaN,NaN,NaN,NaN,53.0,27,13.0,37,NaN,NaN,51.0,21,NaN,NaN,1247.5,15,72.436,18,67.0,9,NaN,NaN,NaN,NaN,84.0,16,NaN,NaN,79.0,15,15.0,13,NaN,NaN
qwen3-235b-a22b-instruct-2507,1421.0,1429.0,1470.0,1415.0,1379.0,1449.0,1449.0,72.0,31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.0,44,36.0,36,NaN,NaN,NaN,NaN,33.0,43,14.0,33,NaN,NaN,46.0,27,88.7,7,NaN,NaN,80.264,4,31.0,45,NaN,NaN,NaN,NaN,83.0,26,77.5,21,75.0,31,11.0,25,77.5,21
qwen3-235b-a22b-no-thinking,1400.0,1398.0,1443.0,1377.0,1366.0,1417.0,1395.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.6,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
qwen3-235b-a22b-thinking-2507,1397.0,1403.0,1441.0,1387.0,1370.0,1417.0,1460.0,82.0,21,8.5,12,0.0,17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62.0,35,40.0,14,NaN,NaN,NaN,NaN,24.0,52,6.0,47,NaN,NaN,39.0,46,87.8,11,NaN,NaN,82.34,1,0.0,57,NaN,NaN,NaN,NaN,83.0,26,81.10000000000001,13,70.0,38,12.0,19,81.10000000000001,13
qwen3-30b-a3b-instruct-2507,1382.0,1386.0,1438.0,1364.0,1324.0,1406.0,1385.0,66.0,35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.0,44,30.0,53,NaN,NaN,NaN,NaN,10.0,59,6.0,47,NaN,NaN,33.0,56,NaN,NaN,NaN,NaN,NaN,NaN,23.0,50,NaN,NaN,NaN,NaN,78.0,47,NaN,NaN,66.0,44,7.0,38,NaN,NaN
qwen3-32b,1345.0,1403.0,1405.0,1327.0,1304.0,1363.0,1395.0,20.0,55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.0,23,NaN,NaN,NaN,NaN,29.0,60,28.0,56,NaN,NaN,NaN,NaN,30.0,48,3.0,56,NaN,NaN,32.0,57,NaN,NaN,NaN,NaN,NaN,NaN,0.0,57,NaN,NaN,NaN,NaN,73.0,59,NaN,NaN,54.0,60,4.0,58,NaN,NaN
qwen3-coder-480b-a35b-instruct,1386.0,1380.0,1454.0,1380.0,1362.0,1412.0,1379.0,39.0,45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.0,37,36.0,36,69.6,7,55.4,8,44.0,34,18.0,27,23.9,8,41.0,37,NaN,NaN,NaN,NaN,NaN,NaN,42.0,37,NaN,NaN,NaN,NaN,79.0,45,NaN,NaN,62.0,54,4.0,58,NaN,NaN
qwen3-max-2025-09-23,1424.0,1436.0,1475.0,1412.0,1395.0,1446.0,1426.0,81.0,22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91.8182,18,NaN,NaN,NaN,NaN,15.6667,7,77.0,19,38.0,28,NaN,NaN,NaN,NaN,74.0,13,19.0,25,NaN,NaN,44.0,29,NaN,NaN,NaN,NaN,80.264,4,47.0,33,NaN,NaN,NaN,NaN,84.0,16,NaN,NaN,76.0,28,11.0,25,NaN,NaN
qwen3-max-preview,1433.0,1442.0,1481.0,1425.0,1396.0,1457.0,1468.0,75.0,27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92.1455,14,NaN,NaN,NaN,NaN,7.75,10,65.0,31,37.0,32,NaN,NaN,NaN,NaN,33.0,43,18.0,27,NaN,NaN,48.0,24,NaN,NaN,NaN,NaN,NaN,NaN,40.0,41,NaN,NaN,NaN,NaN,84.0,16,NaN,NaN,76.0,28,9.0,31,NaN,NaN
qwen3-next-80b-a3b-instruct,1400.0,1426.0,1446.0,1379.0,1318.0,1421.0,1399.0,66.0,35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68.0,26,31.0,51,NaN,NaN,NaN,NaN,22.0,53,7.0,45,NaN,NaN,40.0,41,87.6,13,NaN,NaN,NaN,NaN,51.0,27,NaN,NaN,NaN,NaN,82.0,30,NaN,NaN,74.0,34,7.0,38,NaN,NaN
qwen3-next-80b-a3b-thinking,1367.0,1400.0,1423.0,1356.0,1321.0,1383.0,1385.0,84.0,19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78.0,17,39.0,23,NaN,NaN,NaN,NaN,42.0,36,9.0,44,NaN,NaN,61.0,10,88.9,5,NaN,NaN,NaN,NaN,60.0,19,NaN,NaN,NaN,NaN,82.0,30,77.2,22,76.0,28,12.0,19,77.2,22
qwen3-vl-235b-a22b-instruct,1414.0,1413.0,1465.0,1410.0,1363.0,1439.0,1436.0,71.0,32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.0,37,36.0,36,NaN,NaN,NaN,NaN,35.0,41,6.0,47,NaN,NaN,43.0,31,87.8,11,NaN,NaN,NaN,NaN,32.0,44,NaN,NaN,NaN,NaN,82.0,30,NaN,NaN,71.0,36,6.0,42,NaN,NaN
qwen3-vl-235b-a22b-thinking,1394.0,1414.0,1452.0,1378.0,1342.0,1416.0,1436.0,88.0,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65.0,31,40.0,14,NaN,NaN,NaN,NaN,54.0,25,11.0,40,NaN,NaN,56.0,15,88.2,9,NaN,NaN,NaN,NaN,59.0,20,NaN,NaN,NaN,NaN,84.0,16,NaN,NaN,77.0,24,10.0,28,NaN,NaN
qwq-32b,1334.0,1365.0,1384.0,1321.0,1294.0,1355.0,1358.0,29.0,52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.9,28,NaN,NaN,NaN,NaN,34.0,58,4.0,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39.0,46,83.89999999999999,17,1101.6,21,72.402,19,25.0,49,NaN,NaN,NaN,NaN,65.0,65,NaN,NaN,56.0,59,5.0,45,NaN,NaN
