model_name,score,rank
Qwen3 Omni 30B A3B Thinking,21.0,177
Devstral Medium,20.0,184
GLM-4.5V Non-Thinking,20.0,184
Granite 4.0 H 1B,20.0,184
Mistral Small 3,20.0,184
Qwen3 VL 30B A3B Thinking,20.0,184
Solar Mini,20.0,184
Gemini 2.5 Flash-Lite Non-Thinking,19.0,190
Llama 3.1 405B,19.0,190
NVIDIA Nemotron Nano 12B v2 VL Non-Thinking,19.0,190
Qwen3 4B Thinking,19.0,190
Qwen3 VL 30B A3B Non-Thinking,19.0,190
Gemini 2.5 Flash-Lite Thinking,18.0,195
Llama 4 Maverick,18.0,195
Nova Lite,18.0,195
EXAONE 4.0 32B Thinking,17.0,198
GPT-4.1 nano,17.0,198
Granite 4.0 H Small,17.0,198
Exaone 4.0 1.2B Thinking,16.0,201
Jamba Reasoning 3B,16.0,201
Llama 3.1 8B,16.0,201
Llama 4 Scout,16.0,201
Qwen3 Omni 30B A3B Non-Thinking,16.0,201
Qwen3 VL 4B Thinking,16.0,201
Command A,15.0,207
Gemini 2.5 Flash Non-Thinking 2505,15.0,207
Granite 4.0 H 350M,15.0,207
Llama 3.1 70B,15.0,207
Llama 3.2 11B (Vision),15.0,207
Qwen3 0.6B Non-Thinking,15.0,207
Jamba 1.7 Large,14.0,213
LFM2 2.6B,14.0,213
Nova Micro,14.0,213
Nova Pro,14.0,213
Granite 4.0 350M,13.0,217
Granite 4.0 Micro,13.0,217
Jamba 1.7 Mini,13.0,217
LFM2 1.2B,13.0,217
Ling-mini-2.0,13.0,217
OLMo 3 7B,13.0,217
Llama 3.1 Nemotron Nano 4B v1.1,12.0,223
Llama 3.2 1B,12.0,223
DeepSeek R1 (Jan),11.0,225
Gemma 3 12B,11.0,225
Gemma 3 27B,11.0,225
Granite 3.3 8B,11.0,225
LFM2 8B A1B,11.0,225
Llama Nemotron Ultra,11.0,225
Qwen3 30B A3B 2507 Non-Thinking,10.0,231
Gemma 3 270M,9.0,232
Phi-4 Mini,8.0,233
Gemma 3 4B,5.0,234
Gemma 3n E4B,5.0,234
EXAONE 4.0 32B Non-Thinking,4.0,236
DeepSeek R1 0528 Qwen3 8B,0.0,237
DeepSeek V3.2 Speciale,0.0,237
ERNIE 4.5 300B A47B,0.0,237
GPT-5 (ChatGPT),0.0,237
Gemma 3 1B,0.0,237
Gemma 3n E2B,0.0,237
Kimi Linear 48B A3B Instruct,0.0,237
Molmo 7B-D,0.0,237
OLMo 2 32B,0.0,237
OLMo 2 7B,0.0,237
OLMo 3 32B Think,0.0,237
OLMo 3 7B Think,0.0,237
Olmo 3.1 32B Think,0.0,237
Phi-3 Mini,0.0,237
Phi-4,0.0,237
Reka Flash 3,0.0,237
Ring-flash-2.0,0.0,237
