Model,Features Creator,Intelligence 𝜏²-Bench Telecom (Agentic Tool Use)
Mistral Large 3,Mistral,25%
GPT-4.5 (Preview),OpenAI,--
Olmo 3.1 32B Think,Allen Institute for AI,0%
Ling-flash-2.0,InclusionAI,21%
Grok 4.1 Fast,xAI,64%
QwQ-32B,Alibaba,--
Solar Pro 2,Upstage,28%
Gemini 2.0 Flash Thinking exp. (Jan),Google,--
NVIDIA Nemotron Nano 9B V2,NVIDIA,22%
GLM-4.5V,Z AI,23%
Qwen3 30B A3B 2507,Alibaba,10%
Qwen3 30B,Alibaba,26%
Devstral 2,Mistral,25%
OLMo 3 32B Think,Allen Institute for AI,0%
Solar Pro 2,Upstage,--
NVIDIA Nemotron Nano 9B V2,NVIDIA,23%
Qwen3 14B,Alibaba,35%
Llama 4 Maverick,Meta,18%
Nova 2.0 Lite,Amazon,62%
GPT-4o (Mar),OpenAI,--
Llama 3.3 Nemotron Super 49B,NVIDIA,--
Mistral Medium 3.1,Mistral,41%
Gemini 2.0 Pro Experimental,Google,--
Sonar Reasoning,Perplexity,--
Gemini 2.5 Flash,Google,--
Nova 2.0 Omni,Amazon,45%
Mistral Medium 3,Mistral,24%
Gemini 2.0 Flash,Google,30%
Qwen3 Coder 30B A3B,Alibaba,35%
Magistral Medium 1,Mistral,23%
ERNIE 4.5 300B A47B,Baidu,0%
DeepSeek R1 Distill Qwen 32B,DeepSeek,--
Hermes 4 405B,Nous Research,27%
DeepSeek V3 (Dec),DeepSeek,23%
Nova Premier,Amazon,38%
Qwen3 VL 8B,Alibaba,23%
OLMo 3 7B Think,Allen Institute for AI,0%
Magistral Small 1,Mistral,27%
Gemini 2.0 Flash (exp),Google,--
Devstral Small 2,Mistral,23%
K2-V2 (low),MBZUAI Institute of Foundation Models,21%
DeepSeek R1 0528 Qwen3 8B,DeepSeek,0%
Qwen2.5 Max,Alibaba,--
Ministral 14B (Dec '25),Mistral,27%
GLM-4.6V,Z AI,31%
Qwen3 4B 2507,Alibaba,27%
EXAONE 4.0 32B,LG AI Research,4%
Solar Pro 2,Upstage,32%
Qwen3 Omni 30B A3B,Alibaba,16%
Gemini 2.5 Flash-Lite,Google,19%
Gemini 1.5 Pro (Sep),Google,--
Solar Pro 2,Upstage,--
Qwen3 235B,Alibaba,27%
DeepSeek R1 Distill Llama 70B,DeepSeek,22%
Claude 3.5 Sonnet (Oct),Anthropic,--
DeepSeek R1 Distill Qwen 14B,DeepSeek,--
Qwen3 14B,Alibaba,32%
Mistral Small 3.2,Mistral,30%
GPT-5 nano (minimal),OpenAI,26%
GPT-4o (Aug),OpenAI,--
Qwen2.5 72B,Alibaba,35%
Sonar,Perplexity,--
Qwen3 8B,Alibaba,28%
Ministral 8B (Dec '25),Mistral,27%
Sonar Pro,Perplexity,--
Llama 4 Scout,Meta,16%
Llama 3.1 405B,Meta,19%
QwQ 32B-Preview,Alibaba,--
Llama 3.3 70B,Meta,27%
Devstral Medium,Mistral,20%
Ling-mini-2.0,InclusionAI,13%
Qwen3 VL 4B,Alibaba,16%
GPT-4.1 nano,OpenAI,17%
Devstral Small,Mistral,28%
Qwen3 VL 8B,Alibaba,29%
GPT-4o (Nov),OpenAI,25%
Command A,Cohere,15%
Gemini 2.0 Flash-Lite (Feb),Google,--
Mistral Large 2 (Nov),Mistral,31%
Exaone 4.0 1.2B,LG AI Research,16%
Llama Nemotron Super 49B v1.5,NVIDIA,25%
Qwen3 30B,Alibaba,--
Qwen3 32B,Alibaba,--
GPT-4o (May),OpenAI,--
Gemini 2.0 Flash-Lite (Preview),Google,--
Llama 3.1 Nemotron Nano 4B v1.1,NVIDIA,12%
Kimi Linear 48B A3B Instruct,Kimi,0%
GLM-4.5V,Z AI,20%
Reka Flash 3,Reka AI,0%
Llama 3.3 Nemotron Super 49B,NVIDIA,--
Qwen3 4B,Alibaba,19%
NVIDIA Nemotron 3 Nano,NVIDIA,25%
Claude 3.5 Sonnet (June),Anthropic,--
NVIDIA Nemotron Nano 12B v2 VL,NVIDIA,19%
Tulu3 405B,Allen Institute for AI,--
GPT-4o (ChatGPT),OpenAI,--
Qwen3 VL 4B,Alibaba,23%
Nova Pro,Amazon,14%
Pixtral Large,Mistral,37%
Mistral Small 3.1,Mistral,25%
Grok 2,xAI,--
Gemini 1.5 Flash (Sep),Google,--
GPT-4 Turbo,OpenAI,--
Hermes 4 70B,Nous Research,22%
Llama 3.1 Nemotron 70B,NVIDIA,23%
Grok Beta,xAI,--
Qwen3 8B,Alibaba,25%
Qwen2.5 Instruct 32B,Alibaba,--
Granite 4.0 H Small,IBM,17%
Phi-4,Microsoft Azure,0%
Llama 3.1 70B,Meta,15%
Qwen3 1.7B,Alibaba,26%
Mistral Large 2 (Jul),Mistral,33%
OLMo 3 7B,Allen Institute for AI,13%
Gemma 3 27B,Google,11%
Qwen2.5 Coder 32B,Alibaba,--
Ministral 3B (Dec '25),Mistral,25%
GPT-4,OpenAI,--
Nova Lite,Amazon,18%
Mistral Small 3,Mistral,20%
GPT-4o mini,OpenAI,--
Jamba Reasoning 3B,AI21 Labs,16%
Jamba 1.7 Large,AI21 Labs,14%
DeepSeek-V2.5 (Dec),DeepSeek,--
Qwen3 4B,Alibaba,--
Claude 3 Opus,Anthropic,--
Exaone 4.0 1.2B,LG AI Research,21%
Gemma 3 12B,Google,11%
Claude 3.5 Haiku,Anthropic,--
Gemini 2.0 Flash Thinking exp. (Dec),Google,--
DeepSeek-V2.5,DeepSeek,--
Devstral Small (May),Mistral,--
Mistral Saba,Mistral,--
DeepSeek R1 Distill Llama 8B,DeepSeek,--
Gemini 1.5 Pro (May),Google,--
R1 1776,Perplexity,--
Qwen2.5 Turbo,Alibaba,--
Reka Flash,Reka AI,--
Llama 3.2 90B (Vision),Meta,--
Solar Mini,Upstage,20%
Grok-1,xAI,--
Qwen2 72B,Alibaba,--
Nova Micro,Amazon,14%
LFM2 8B A1B,Liquid AI,11%
Llama 3.1 8B,Meta,16%
Gemini 1.5 Flash-8B,Google,--
Granite 4.0 Micro,IBM,13%
Phi-4 Mini,Microsoft Azure,8%
DeepHermes 3 - Mistral 24B,Nous Research,--
Llama 3.2 11B (Vision),Meta,15%
Gemma 3n E4B,Google,5%
Granite 3.3 8B,IBM,11%
Jamba 1.5 Large,AI21 Labs,--
Jamba 1.7 Mini,AI21 Labs,13%
Gemma 3 4B,Google,5%
Hermes 3 - Llama-3.1 70B,Nous Research,--
DeepSeek-Coder-V2,DeepSeek,--
Qwen3 1.7B,Alibaba,22%
OLMo 2 32B,Allen Institute for AI,0%
Jamba 1.6 Large,AI21 Labs,--
Qwen3 0.6B,Alibaba,21%
Gemini 1.5 Flash (May),Google,--
Granite 4.0 H 1B,IBM,20%
Claude 3 Sonnet,Anthropic,--
Granite 4.0 1B,IBM,23%
Llama 3 70B,Meta,--
Mistral Small (Sep),Mistral,--
Gemini 1.0 Ultra,Google,--
Phi-3 Mini,Microsoft Azure,0%
Gemma 3n E4B (May),Google,--
Phi-4 Multimodal,Microsoft Azure,--
Qwen2.5 Coder 7B,Alibaba,--
Mistral Large (Feb),Mistral,--
LFM2 2.6B,Liquid AI,14%
Mixtral 8x22B,Mistral,--
Llama 2 Chat 7B,Meta,--
Gemma 3n E2B,Google,0%
Llama 3.2 3B,Meta,21%
Qwen3 0.6B,Alibaba,15%
Qwen1.5 Chat 110B,Alibaba,--
LFM2 1.2B,Liquid AI,13%
Claude 2.1,Anthropic,--
Claude 3 Haiku,Anthropic,--
OLMo 2 7B,Allen Institute for AI,0%
Molmo 7B-D,Allen Institute for AI,0%
Llama 3.2 1B,Meta,12%
DeepSeek R1 Distill Qwen 1.5B,DeepSeek,--
Claude 2.0,Anthropic,--
DeepSeek-V2,DeepSeek,--
Mistral Small (Feb),Mistral,--
Mistral Medium,Mistral,--
GPT-3.5 Turbo,OpenAI,--
Granite 4.0 H 350M,IBM,15%
Granite 4.0 350M,IBM,13%
Arctic,Snowflake,--
Qwen Chat 72B,Alibaba,--
LFM 40B,Liquid AI,--
Llama 3 8B,Meta,--
Gemma 3 1B,Google,0%
PALM-2,Google,--
Gemini 1.0 Pro,Google,--
DeepSeek Coder V2 Lite,DeepSeek,--
Gemma 3 270M,Google,9%
Llama 2 Chat 70B,Meta,--
DeepSeek LLM 67B (V1),DeepSeek,--
Llama 2 Chat 13B,Meta,--
Command-R+ (Apr),Cohere,--
OpenChat 3.5,OpenChat,--
DBRX,Databricks,--
Jamba 1.5 Mini,AI21 Labs,--
Jamba 1.6 Mini,AI21 Labs,--
Mixtral 8x7B,Mistral,--
DeepHermes 3 - Llama-3.1 8B,Nous Research,--
Llama 65B,Meta,--
Qwen Chat 14B,Alibaba,--
Claude Instant,Anthropic,--
Mistral 7B,Mistral,--
Command-R (Mar),Cohere,--
DeepSeek-OCR,DeepSeek,--
Grok Voice Agent,xAI,--
Cogito v2.1,Deep Cogito,--
GPT-4o Realtime (Dec),OpenAI,--
GPT-4o mini Realtime (Dec),OpenAI,--
GPT-3.5 Turbo (0613),OpenAI,--
