Model,Features Creator,Intelligence AIME 2025 (Competition Math)
Ring-flash-2.0,InclusionAI,84%
o1-mini,OpenAI,--
Hermes 4 70B,Nous Research,69%
Qwen3 32B,Alibaba,73%
Grok 4 Fast,xAI,41%
Llama Nemotron Ultra,NVIDIA,64%
Qwen3 VL 30B A3B,Alibaba,72%
Mistral Large 3,Mistral,38%
GPT-4.5 (Preview),OpenAI,--
Olmo 3.1 32B Think,Allen Institute for AI,77%
Ling-flash-2.0,InclusionAI,65%
Grok 4.1 Fast,xAI,34%
QwQ-32B,Alibaba,29%
Solar Pro 2,Upstage,61%
Gemini 2.0 Flash Thinking exp. (Jan),Google,--
NVIDIA Nemotron Nano 9B V2,NVIDIA,70%
GLM-4.5V,Z AI,73%
Qwen3 30B A3B 2507,Alibaba,66%
Qwen3 30B,Alibaba,72%
Devstral 2,Mistral,37%
OLMo 3 32B Think,Allen Institute for AI,74%
Solar Pro 2,Upstage,--
NVIDIA Nemotron Nano 9B V2,NVIDIA,62%
Qwen3 14B,Alibaba,56%
Llama 4 Maverick,Meta,19%
Nova 2.0 Lite,Amazon,34%
GPT-4o (Mar),OpenAI,26%
Llama 3.3 Nemotron Super 49B,NVIDIA,55%
Mistral Medium 3.1,Mistral,38%
Gemini 2.0 Pro Experimental,Google,--
Sonar Reasoning,Perplexity,--
Gemini 2.5 Flash,Google,--
Nova 2.0 Omni,Amazon,37%
Mistral Medium 3,Mistral,30%
Gemini 2.0 Flash,Google,22%
Qwen3 Coder 30B A3B,Alibaba,29%
Magistral Medium 1,Mistral,40%
ERNIE 4.5 300B A47B,Baidu,41%
DeepSeek R1 Distill Qwen 32B,DeepSeek,63%
Hermes 4 405B,Nous Research,15%
DeepSeek V3 (Dec),DeepSeek,26%
Nova Premier,Amazon,17%
Qwen3 VL 8B,Alibaba,31%
OLMo 3 7B Think,Allen Institute for AI,71%
Magistral Small 1,Mistral,41%
Gemini 2.0 Flash (exp),Google,--
Devstral Small 2,Mistral,34%
K2-V2 (low),MBZUAI Institute of Foundation Models,35%
DeepSeek R1 0528 Qwen3 8B,DeepSeek,64%
Qwen2.5 Max,Alibaba,--
Ministral 14B (Dec '25),Mistral,30%
GLM-4.6V,Z AI,26%
Qwen3 4B 2507,Alibaba,52%
EXAONE 4.0 32B,LG AI Research,39%
Solar Pro 2,Upstage,30%
Qwen3 Omni 30B A3B,Alibaba,52%
Gemini 2.5 Flash-Lite,Google,35%
Gemini 1.5 Pro (Sep),Google,--
Solar Pro 2,Upstage,--
Qwen3 235B,Alibaba,24%
DeepSeek R1 Distill Llama 70B,DeepSeek,54%
Claude 3.5 Sonnet (Oct),Anthropic,--
DeepSeek R1 Distill Qwen 14B,DeepSeek,56%
Qwen3 14B,Alibaba,58%
Mistral Small 3.2,Mistral,27%
GPT-5 nano (minimal),OpenAI,27%
GPT-4o (Aug),OpenAI,--
Qwen2.5 72B,Alibaba,14%
Sonar,Perplexity,--
Qwen3 8B,Alibaba,19%
Ministral 8B (Dec '25),Mistral,32%
Sonar Pro,Perplexity,--
Llama 4 Scout,Meta,14%
Llama 3.1 405B,Meta,3%
QwQ 32B-Preview,Alibaba,--
Llama 3.3 70B,Meta,8%
Devstral Medium,Mistral,5%
Ling-mini-2.0,InclusionAI,49%
Qwen3 VL 4B,Alibaba,26%
GPT-4.1 nano,OpenAI,24%
Devstral Small,Mistral,29%
Qwen3 VL 8B,Alibaba,27%
GPT-4o (Nov),OpenAI,6%
Command A,Cohere,13%
Gemini 2.0 Flash-Lite (Feb),Google,--
Mistral Large 2 (Nov),Mistral,14%
Exaone 4.0 1.2B,LG AI Research,50%
Llama Nemotron Super 49B v1.5,NVIDIA,8%
Qwen3 30B,Alibaba,22%
Qwen3 32B,Alibaba,20%
GPT-4o (May),OpenAI,--
Gemini 2.0 Flash-Lite (Preview),Google,--
Llama 3.1 Nemotron Nano 4B v1.1,NVIDIA,50%
Kimi Linear 48B A3B Instruct,Kimi,36%
GLM-4.5V,Z AI,15%
Reka Flash 3,Reka AI,34%
Llama 3.3 Nemotron Super 49B,NVIDIA,8%
Qwen3 4B,Alibaba,22%
NVIDIA Nemotron 3 Nano,NVIDIA,13%
Claude 3.5 Sonnet (June),Anthropic,--
NVIDIA Nemotron Nano 12B v2 VL,NVIDIA,27%
Tulu3 405B,Allen Institute for AI,--
GPT-4o (ChatGPT),OpenAI,--
Qwen3 VL 4B,Alibaba,37%
Nova Pro,Amazon,7%
Pixtral Large,Mistral,2%
Mistral Small 3.1,Mistral,4%
Grok 2,xAI,--
Gemini 1.5 Flash (Sep),Google,--
GPT-4 Turbo,OpenAI,--
Hermes 4 70B,Nous Research,11%
Llama 3.1 Nemotron 70B,NVIDIA,11%
Grok Beta,xAI,--
Qwen3 8B,Alibaba,24%
Qwen2.5 Instruct 32B,Alibaba,--
Granite 4.0 H Small,IBM,14%
Phi-4,Microsoft Azure,18%
Llama 3.1 70B,Meta,4%
Qwen3 1.7B,Alibaba,39%
Mistral Large 2 (Jul),Mistral,0%
OLMo 3 7B,Allen Institute for AI,41%
Gemma 3 27B,Google,21%
Qwen2.5 Coder 32B,Alibaba,--
Ministral 3B (Dec '25),Mistral,22%
GPT-4,OpenAI,--
Nova Lite,Amazon,7%
Mistral Small 3,Mistral,4%
GPT-4o mini,OpenAI,15%
Jamba Reasoning 3B,AI21 Labs,11%
Jamba 1.7 Large,AI21 Labs,2%
DeepSeek-V2.5 (Dec),DeepSeek,--
Qwen3 4B,Alibaba,--
Claude 3 Opus,Anthropic,--
Exaone 4.0 1.2B,LG AI Research,24%
Gemma 3 12B,Google,18%
Claude 3.5 Haiku,Anthropic,--
Gemini 2.0 Flash Thinking exp. (Dec),Google,--
DeepSeek-V2.5,DeepSeek,--
Devstral Small (May),Mistral,--
Mistral Saba,Mistral,--
DeepSeek R1 Distill Llama 8B,DeepSeek,41%
Gemini 1.5 Pro (May),Google,--
R1 1776,Perplexity,--
Qwen2.5 Turbo,Alibaba,--
Reka Flash,Reka AI,--
Llama 3.2 90B (Vision),Meta,--
Solar Mini,Upstage,--
Grok-1,xAI,--
Qwen2 72B,Alibaba,--
Nova Micro,Amazon,6%
LFM2 8B A1B,Liquid AI,25%
Llama 3.1 8B,Meta,4%
Gemini 1.5 Flash-8B,Google,--
Granite 4.0 Micro,IBM,6%
Phi-4 Mini,Microsoft Azure,7%
DeepHermes 3 - Mistral 24B,Nous Research,--
Llama 3.2 11B (Vision),Meta,2%
Gemma 3n E4B,Google,14%
Granite 3.3 8B,IBM,7%
Jamba 1.5 Large,AI21 Labs,--
Jamba 1.7 Mini,AI21 Labs,0%
Gemma 3 4B,Google,13%
Hermes 3 - Llama-3.1 70B,Nous Research,--
DeepSeek-Coder-V2,DeepSeek,--
Qwen3 1.7B,Alibaba,7%
OLMo 2 32B,Allen Institute for AI,3%
Jamba 1.6 Large,AI21 Labs,--
Qwen3 0.6B,Alibaba,18%
Gemini 1.5 Flash (May),Google,--
Granite 4.0 H 1B,IBM,6%
Claude 3 Sonnet,Anthropic,--
Granite 4.0 1B,IBM,6%
Llama 3 70B,Meta,--
Mistral Small (Sep),Mistral,--
Gemini 1.0 Ultra,Google,--
Phi-3 Mini,Microsoft Azure,0%
Gemma 3n E4B (May),Google,--
Phi-4 Multimodal,Microsoft Azure,--
Qwen2.5 Coder 7B,Alibaba,--
Mistral Large (Feb),Mistral,--
LFM2 2.6B,Liquid AI,8%
Mixtral 8x22B,Mistral,--
Llama 2 Chat 7B,Meta,--
Gemma 3n E2B,Google,10%
Llama 3.2 3B,Meta,3%
Qwen3 0.6B,Alibaba,10%
Qwen1.5 Chat 110B,Alibaba,--
LFM2 1.2B,Liquid AI,3%
Claude 2.1,Anthropic,--
Claude 3 Haiku,Anthropic,--
OLMo 2 7B,Allen Institute for AI,1%
Molmo 7B-D,Allen Institute for AI,0%
Llama 3.2 1B,Meta,0%
DeepSeek R1 Distill Qwen 1.5B,DeepSeek,22%
Claude 2.0,Anthropic,--
DeepSeek-V2,DeepSeek,--
Mistral Small (Feb),Mistral,--
Mistral Medium,Mistral,--
GPT-3.5 Turbo,OpenAI,--
Granite 4.0 H 350M,IBM,1%
Granite 4.0 350M,IBM,0%
Arctic,Snowflake,--
Qwen Chat 72B,Alibaba,--
LFM 40B,Liquid AI,--
Llama 3 8B,Meta,--
Gemma 3 1B,Google,3%
PALM-2,Google,--
Gemini 1.0 Pro,Google,--
DeepSeek Coder V2 Lite,DeepSeek,--
Gemma 3 270M,Google,2%
Llama 2 Chat 70B,Meta,--
DeepSeek LLM 67B (V1),DeepSeek,--
Llama 2 Chat 13B,Meta,--
Command-R+ (Apr),Cohere,--
OpenChat 3.5,OpenChat,--
DBRX,Databricks,--
Jamba 1.5 Mini,AI21 Labs,--
Jamba 1.6 Mini,AI21 Labs,--
Mixtral 8x7B,Mistral,--
DeepHermes 3 - Llama-3.1 8B,Nous Research,--
Llama 65B,Meta,--
Qwen Chat 14B,Alibaba,--
Claude Instant,Anthropic,--
Mistral 7B,Mistral,--
Command-R (Mar),Cohere,--
DeepSeek-OCR,DeepSeek,--
Grok Voice Agent,xAI,--
Cogito v2.1,Deep Cogito,73%
GPT-4o Realtime (Dec),OpenAI,--
GPT-4o mini Realtime (Dec),OpenAI,--
GPT-3.5 Turbo (0613),OpenAI,--
