Model,Features Creator,Intelligence MMLU-Pro (Reasoning & Knowledge)
DeepSeek-V2,DeepSeek,--
DeepSeek-V2.5,DeepSeek,--
DeepSeek-V2.5 (Dec),DeepSeek,--
Devstral 2,Mistral,76%
Devstral Medium,Mistral,71%
Devstral Small,Mistral,62%
Devstral Small (May),Mistral,63%
Devstral Small 2,Mistral,68%
Doubao Seed Code,ByteDance Seed,85%
ERNIE 4.5 300B A47B,Baidu,78%
ERNIE 5.0 Thinking Preview,Baidu,83%
EXAONE 4.0 32B Non-Thinking,LG AI Research,77%
EXAONE 4.0 32B Thinking,LG AI Research,82%
Exaone 4.0 1.2B Non-Thinking,LG AI Research,50%
Exaone 4.0 1.2B Thinking,LG AI Research,59%
GLM-4.5,Z AI,84%
GLM-4.5-Air,Z AI,82%
GLM-4.5V Thinking,Z AI,79%
GLM-4.5V Non-Thinking,Z AI,75%
GLM-4.6 Non-Thinking,Z AI,78%
GLM-4.6 Thinking,Z AI,83%
GLM-4.6V Thinking,Z AI,80%
GLM-4.6V Non-Thinking,Z AI,75%
GLM-4.7 Non-Thinking,Z AI,79%
GLM-4.7 Thinking,Z AI,86%
GPT-3.5 Turbo,OpenAI,46%
GPT-3.5 Turbo (0613),OpenAI,--
GPT-4,OpenAI,--
GPT-4 Turbo,OpenAI,69%
GPT-4.1,OpenAI,81%
GPT-4.1 mini,OpenAI,78%
GPT-4.1 nano,OpenAI,66%
GPT-4.5 (Preview),OpenAI,--
GPT-4o (Aug),OpenAI,--
GPT-4o (ChatGPT),OpenAI,77%
GPT-4o (Mar),OpenAI,80%
GPT-4o (May),OpenAI,74%
GPT-4o (Nov),OpenAI,75%
GPT-4o Realtime (Dec),OpenAI,--
GPT-4o mini,OpenAI,65%
GPT-4o mini Realtime (Dec),OpenAI,--
GPT-5 (ChatGPT),OpenAI,82%
GPT-5 (high),OpenAI,87%
GPT-5 (low),OpenAI,86%
GPT-5 (medium),OpenAI,87%
GPT-5 (minimal),OpenAI,81%
GPT-5 Codex (high),OpenAI,87%
GPT-5 mini (high),OpenAI,84%
GPT-5 mini (medium),OpenAI,83%
GPT-5 mini (minimal),OpenAI,78%
GPT-5 nano (high),OpenAI,78%
GPT-5 nano (medium),OpenAI,77%
GPT-5 nano (minimal),OpenAI,56%
GPT-5.1,OpenAI,80%
GPT-5.1 (high),OpenAI,87%
GPT-5.1 Codex (high),OpenAI,86%
GPT-5.1 Codex mini (high),OpenAI,82%
GPT-5.2,OpenAI,81%
GPT-5.2 (xhigh),OpenAI,87%
Gemini 1.0 Pro,Google,43%
Gemini 1.0 Ultra,Google,--
Gemini 1.5 Flash (May),Google,57%
Gemini 1.5 Flash (Sep),Google,68%
Gemini 1.5 Flash-8B,Google,57%
Gemini 1.5 Pro (May),Google,66%
Gemini 1.5 Pro (Sep),Google,75%
Gemini 2.0 Flash,Google,78%
Gemini 2.0 Flash (exp),Google,78%
Gemini 2.0 Flash Thinking exp. (Dec),Google,--
Gemini 2.0 Flash Thinking exp. (Jan),Google,80%
Gemini 2.0 Flash-Lite (Feb),Google,72%
Gemini 2.0 Flash-Lite (Preview),Google,--
Gemini 2.0 Pro Experimental,Google,81%
Gemini 2.5 Flash Thinking 2504,Google,80%
Gemini 2.5 Flash Non-Thinking 2504,Google,78%
Gemini 2.5 Flash Non-Thinking 2505,Google,81%
Gemini 2.5 Flash Thinking 2505,Google,83%
Gemini 2.5 Flash (Sep) Non-Thinking,Google,84%
Gemini 2.5 Flash (Sep) Thinking,Google,84%
Gemini 2.5 Flash-Lite Thinking,Google,76%
Gemini 2.5 Flash-Lite Non-Thinking,Google,72%
Gemini 2.5 Flash-Lite (Sep) Thinking,Google,81%
Gemini 2.5 Flash-Lite (Sep) Non-Thinking,Google,80%
Gemini 2.5 Pro,Google,86%
Gemini 2.5 Pro (Mar),Google,86%
Gemini 2.5 Pro (May),Google,84%
Gemini 3 Flash Thinking,Google,89%
Gemini 3 Flash Non-Thinking,Google,88%
Gemini 3 Pro Preview (high),Google,90%
Gemini 3 Pro Preview (low),Google,90%
Gemma 3 12B,Google,60%
Gemma 3 1B,Google,14%
Gemma 3 270M,Google,6%
Gemma 3 27B,Google,67%
Gemma 3 4B,Google,42%
Gemma 3n E2B,Google,38%
Gemma 3n E4B,Google,49%
Gemma 3n E4B (May),Google,48%
Granite 3.3 8B,IBM,47%
Granite 4.0 1B,IBM,33%
Granite 4.0 350M,IBM,12%
Granite 4.0 H 1B,IBM,28%
Granite 4.0 H 350M,IBM,13%
Granite 4.0 H Small,IBM,62%
Granite 4.0 Micro,IBM,45%
Grok 2,xAI,71%
Grok 3,xAI,80%
Grok 3 Reasoning Beta,xAI,--
Grok 3 mini Reasoning (high),xAI,83%
Grok 4,xAI,87%
Grok 4 Fast Thinking,xAI,85%
Grok 4 Fast Non-Thinking,xAI,73%
Grok 4.1 Fast Non-Thinking,xAI,74%
Grok 4.1 Fast Thinking,xAI,85%
Grok Beta,xAI,70%
Grok Code Fast 1,xAI,79%
Grok Voice Agent,xAI,--
Grok-1,xAI,--
Hermes 3 - Llama-3.1 70B,Nous Research,57%
Hermes 4 405B Non-Thinking,Nous Research,73%
Hermes 4 405B Thinking,Nous Research,83%
Hermes 4 70B Thinking,Nous Research,81%
Hermes 4 70B Non-Thinking,Nous Research,66%
HyperCLOVA X SEED Think (32B),Naver,79%
Jamba 1.5 Large,AI21 Labs,57%
Jamba 1.5 Mini,AI21 Labs,37%
Jamba 1.6 Large,AI21 Labs,56%
Jamba 1.6 Mini,AI21 Labs,37%
Jamba 1.7 Large,AI21 Labs,58%
Jamba 1.7 Mini,AI21 Labs,39%
Jamba Reasoning 3B,AI21 Labs,58%
K2-V2 (high),MBZUAI Institute of Foundation Models,79%
K2-V2 (low),MBZUAI Institute of Foundation Models,71%
K2-V2 (medium),MBZUAI Institute of Foundation Models,76%
KAT-Coder-Pro V1,KwaiKAT,81%
Kimi K2,Kimi,82%
Kimi K2 0905,Kimi,82%
Kimi K2 Thinking,Kimi,85%
Kimi Linear 48B A3B Instruct,Kimi,59%
LFM 40B,Liquid AI,43%
LFM2 1.2B,Liquid AI,26%
LFM2 2.6B,Liquid AI,30%
LFM2 8B A1B,Liquid AI,51%
Ling-1T,InclusionAI,82%
Ling-flash-2.0,InclusionAI,78%
Ling-mini-2.0,InclusionAI,67%
Llama 2 Chat 13B,Meta,41%
Llama 2 Chat 70B,Meta,41%
Llama 2 Chat 7B,Meta,16%
Llama 3 70B,Meta,57%
Llama 3 8B,Meta,41%
Llama 3.1 405B,Meta,73%
Llama 3.1 70B,Meta,68%
Llama 3.1 8B,Meta,48%
Llama 3.1 Nemotron 70B,NVIDIA,69%
Llama 3.1 Nemotron Nano 4B v1.1,NVIDIA,56%
Llama 3.2 11B (Vision),Meta,46%
Llama 3.2 1B,Meta,20%
Llama 3.2 3B,Meta,35%
Llama 3.2 90B (Vision),Meta,67%
Llama 3.3 70B,Meta,71%
Llama 3.3 Nemotron Super 49B Non-Thinking,NVIDIA,70%
Llama 3.3 Nemotron Super 49B Thinking,NVIDIA,79%
Llama 4 Maverick,Meta,81%
Llama 4 Scout,Meta,75%
Llama 65B,Meta,--
Llama Nemotron Super 49B v1.5 Thinking,NVIDIA,81%
Llama Nemotron Super 49B v1.5 Non-Thinking,NVIDIA,69%
Llama Nemotron Ultra,NVIDIA,83%
Magistral Medium 1,Mistral,75%
Magistral Medium 1.2,Mistral,82%
Magistral Small 1,Mistral,75%
Magistral Small 1.2,Mistral,77%
Mi:dm K 2.5 Pro Preview,Korea Telecom,81%
MiMo-V2-Flash Thinking,Xiaomi,84%
MiMo-V2-Flash Non-Thinking,Xiaomi,74%
MiniMax M1 40k,MiniMax,81%
MiniMax M1 80k,MiniMax,82%
MiniMax-M2,MiniMax,82%
MiniMax-M2.1,MiniMax,88%
Ministral 14B (Dec '25),Mistral,69%
Ministral 3B (Dec '25),Mistral,52%
Ministral 8B (Dec '25),Mistral,64%
Mistral 7B,Mistral,25%
Mistral Large (Feb),Mistral,52%
Mistral Large 2 (Jul),Mistral,68%
Mistral Large 2 (Nov),Mistral,70%
Mistral Large 3,Mistral,81%
Mistral Medium,Mistral,49%
Mistral Medium 3,Mistral,76%
Mistral Medium 3.1,Mistral,68%
Mistral Saba,Mistral,61%
Mistral Small (Feb),Mistral,42%
Mistral Small (Sep),Mistral,53%
Mistral Small 3,Mistral,65%
Mistral Small 3.1,Mistral,66%
Mistral Small 3.2,Mistral,68%
Mixtral 8x22B,Mistral,54%
Mixtral 8x7B,Mistral,39%
Molmo 7B-D,Allen Institute for AI,37%
Motif-2-12.7B,Motif Technologies,80%
NVIDIA Nemotron 3 Nano Non-Thinking,NVIDIA,58%
NVIDIA Nemotron 3 Nano Thinking,NVIDIA,79%
NVIDIA Nemotron Nano 12B v2 VL Non-Thinking,NVIDIA,65%
NVIDIA Nemotron Nano 12B v2 VL Thinking,NVIDIA,76%
NVIDIA Nemotron Nano 9B V2 Non-Thinking,NVIDIA,74%
NVIDIA Nemotron Nano 9B V2 Thinking,NVIDIA,74%
Nova 2.0 Lite,Amazon,74%
Nova 2.0 Lite (low),Amazon,79%
Nova 2.0 Lite (medium),Amazon,81%
Nova 2.0 Omni,Amazon,72%
Nova 2.0 Omni (low),Amazon,80%
Nova 2.0 Omni (medium),Amazon,81%
Nova 2.0 Pro Preview,Amazon,77%
Nova 2.0 Pro Preview (low),Amazon,82%
Nova 2.0 Pro Preview (medium),Amazon,83%
Nova Lite,Amazon,59%
Nova Micro,Amazon,53%
Nova Premier,Amazon,73%
Nova Pro,Amazon,69%
OLMo 2 32B,Allen Institute for AI,51%
OLMo 2 7B,Allen Institute for AI,28%
OLMo 3 32B Think,Allen Institute for AI,76%
OLMo 3 7B,Allen Institute for AI,52%
OLMo 3 7B Think,Allen Institute for AI,66%
Olmo 3.1 32B Think,Allen Institute for AI,76%
OpenChat 3.5,OpenChat,31%
PALM-2,Google,--
Phi-3 Mini,Microsoft Azure,44%
Phi-4,Microsoft Azure,71%
Phi-4 Mini,Microsoft Azure,47%
Phi-4 Multimodal,Microsoft Azure,49%
Pixtral Large,Mistral,70%
QwQ 32B-Preview,Alibaba,65%
QwQ-32B,Alibaba,76%
Qwen Chat 14B,Alibaba,--
Qwen Chat 72B,Alibaba,--
Qwen1.5 Chat 110B,Alibaba,--
Qwen2 72B,Alibaba,62%
Qwen2.5 72B,Alibaba,72%
Qwen2.5 Coder 32B,Alibaba,64%
Qwen2.5 Coder 7B,Alibaba,47%
Qwen2.5 Instruct 32B,Alibaba,70%
Qwen2.5 Max,Alibaba,76%
Qwen2.5 Turbo,Alibaba,63%
Qwen3 0.6B Non-Thinking,Alibaba,23%
Qwen3 0.6B Thinking,Alibaba,35%
Qwen3 1.7B Thinking,Alibaba,57%
Qwen3 1.7B Non-Thinking,Alibaba,41%
Qwen3 14B Non-Thinking,Alibaba,68%
Qwen3 14B Thinking,Alibaba,77%
Qwen3 235B Thinking,Alibaba,83%
Qwen3 235B Non-Thinking,Alibaba,76%
Qwen3 235B 2507,Alibaba,83%
Qwen3 235B A22B 2507,Alibaba,84%
Qwen3 30B Thinking,Alibaba,78%
Qwen3 30B Non-Thinking,Alibaba,71%
Qwen3 30B A3B 2507 Thinking,Alibaba,81%
Qwen3 30B A3B 2507 Non-Thinking,Alibaba,78%
Qwen3 32B Non-Thinking,Alibaba,73%
Qwen3 32B Thinking,Alibaba,80%
Qwen3 4B Thinking,Alibaba,70%
Qwen3 4B Non-Thinking,Alibaba,59%
Qwen3 4B 2507 Non-Thinking,Alibaba,67%
Qwen3 4B 2507 Thinking,Alibaba,74%
Qwen3 8B Thinking,Alibaba,74%
Qwen3 8B Non-Thinking,Alibaba,64%
Qwen3 Coder 30B A3B,Alibaba,71%
Qwen3 Coder 480B,Alibaba,79%
Qwen3 Max,Alibaba,84%
Qwen3 Max (Preview),Alibaba,84%
Qwen3 Max Thinking,Alibaba,82%
Qwen3 Next 80B A3B Non-Thinking,Alibaba,82%
Qwen3 Next 80B A3B Thinking,Alibaba,82%
Qwen3 Omni 30B A3B Non-Thinking,Alibaba,73%
Qwen3 Omni 30B A3B Thinking,Alibaba,79%
Qwen3 VL 235B A22B Non-Thinking,Alibaba,82%
Qwen3 VL 235B A22B Thinking,Alibaba,84%
Qwen3 VL 30B A3B Non-Thinking,Alibaba,76%
Qwen3 VL 30B A3B Thinking,Alibaba,81%
Qwen3 VL 32B Non-Thinking,Alibaba,79%
Qwen3 VL 32B Thinking,Alibaba,82%
Qwen3 VL 4B Thinking,Alibaba,70%
Qwen3 VL 4B Non-Thinking,Alibaba,63%
Qwen3 VL 8B Non-Thinking,Alibaba,69%
Qwen3 VL 8B Thinking,Alibaba,75%
R1 1776,Perplexity,--
Reka Flash,Reka AI,--
Reka Flash 3,Reka AI,67%
Ring-1T,InclusionAI,81%
Ring-flash-2.0,InclusionAI,79%
Seed-OSS-36B-Instruct,ByteDance Seed,82%
Solar Mini,Upstage,--
Solar Pro 2 Non-Thinking,Upstage,75%
Solar Pro 2 Preview Non-Thinking,Upstage,73%
Solar Pro 2 Preview Thinking,Upstage,77%
Solar Pro 2 Thinking,Upstage,81%
Sonar,Perplexity,69%
Sonar Pro,Perplexity,76%
Sonar Reasoning,Perplexity,--
Sonar Reasoning Pro,Perplexity,--
Tulu3 405B,Allen Institute for AI,72%
gpt-oss-120B (high),OpenAI,81%
gpt-oss-120B (low),OpenAI,78%
gpt-oss-20B (high),OpenAI,75%
gpt-oss-20B (low),OpenAI,72%
o1,OpenAI,84%
o1-mini,OpenAI,74%
o1-preview,OpenAI,--
o1-pro,OpenAI,--
o3,OpenAI,85%
o3-mini,OpenAI,79%
o3-mini (high),OpenAI,80%
o3-pro,OpenAI,--
o4-mini (high),OpenAI,83%
