Model,Features Creator,Intelligence Humanity's Last Exam (Reasoning & Knowledge)
DeepSeek V3.1 Thinking,DeepSeek,13%
DeepSeek V3.1 Terminus Thinking,DeepSeek,15%
DeepSeek V3.1 Terminus Non-Thinking,DeepSeek,8%
DeepSeek V3.2 Non-Thinking,DeepSeek,11%
DeepSeek V3.2 Thinking,DeepSeek,22%
DeepSeek V3.2 Exp Thinking,DeepSeek,14%
DeepSeek V3.2 Exp Non-Thinking,DeepSeek,9%
DeepSeek V3.2 Speciale,DeepSeek,26%
DeepSeek-Coder-V2,DeepSeek,--
DeepSeek-OCR,DeepSeek,--
DeepSeek-V2,DeepSeek,--
DeepSeek-V2.5,DeepSeek,--
DeepSeek-V2.5 (Dec),DeepSeek,--
Devstral 2,Mistral,4%
Devstral Medium,Mistral,4%
Devstral Small,Mistral,4%
Devstral Small (May),Mistral,4%
Devstral Small 2,Mistral,3%
Doubao Seed Code,ByteDance Seed,13%
ERNIE 4.5 300B A47B,Baidu,4%
ERNIE 5.0 Thinking Preview,Baidu,13%
EXAONE 4.0 32B Non-Thinking,LG AI Research,5%
EXAONE 4.0 32B Thinking,LG AI Research,11%
Exaone 4.0 1.2B Non-Thinking,LG AI Research,6%
Exaone 4.0 1.2B Thinking,LG AI Research,6%
GLM-4.5,Z AI,12%
GLM-4.5-Air,Z AI,7%
GLM-4.5V Thinking,Z AI,6%
GLM-4.5V Non-Thinking,Z AI,4%
GLM-4.6 Non-Thinking,Z AI,5%
GLM-4.6 Thinking,Z AI,13%
GLM-4.6V Thinking,Z AI,9%
GLM-4.6V Non-Thinking,Z AI,4%
GLM-4.7 Non-Thinking,Z AI,6%
GLM-4.7 Thinking,Z AI,25%
GPT-3.5 Turbo,OpenAI,--
GPT-3.5 Turbo (0613),OpenAI,--
GPT-4,OpenAI,--
GPT-4 Turbo,OpenAI,3%
GPT-4.1,OpenAI,5%
GPT-4.1 mini,OpenAI,5%
GPT-4.1 nano,OpenAI,4%
GPT-4.5 (Preview),OpenAI,--
GPT-4o (Aug),OpenAI,3%
GPT-4o (ChatGPT),OpenAI,4%
GPT-4o (Mar),OpenAI,5%
GPT-4o (May),OpenAI,3%
GPT-4o (Nov),OpenAI,3%
GPT-4o Realtime (Dec),OpenAI,--
GPT-4o mini,OpenAI,4%
GPT-4o mini Realtime (Dec),OpenAI,--
GPT-5 (ChatGPT),OpenAI,6%
GPT-5 (high),OpenAI,27%
GPT-5 (low),OpenAI,18%
GPT-5 (medium),OpenAI,24%
GPT-5 (minimal),OpenAI,5%
GPT-5 Codex (high),OpenAI,26%
GPT-5 mini (high),OpenAI,20%
GPT-5 mini (medium),OpenAI,15%
GPT-5 mini (minimal),OpenAI,5%
GPT-5 nano (high),OpenAI,8%
GPT-5 nano (medium),OpenAI,8%
GPT-5 nano (minimal),OpenAI,4%
GPT-5.1,OpenAI,5%
GPT-5.1 (high),OpenAI,27%
GPT-5.1 Codex (high),OpenAI,23%
GPT-5.1 Codex mini (high),OpenAI,17%
GPT-5.2,OpenAI,7%
GPT-5.2 (xhigh),OpenAI,31%
Gemini 1.0 Pro,Google,5%
Gemini 1.0 Ultra,Google,--
Gemini 1.5 Flash (May),Google,4%
Gemini 1.5 Flash (Sep),Google,4%
Gemini 1.5 Flash-8B,Google,5%
Gemini 1.5 Pro (May),Google,4%
Gemini 1.5 Pro (Sep),Google,5%
Gemini 2.0 Flash,Google,5%
Gemini 2.0 Flash (exp),Google,5%
Gemini 2.0 Flash Thinking exp. (Dec),Google,--
Gemini 2.0 Flash Thinking exp. (Jan),Google,7%
Gemini 2.0 Flash-Lite (Feb),Google,4%
Gemini 2.0 Flash-Lite (Preview),Google,4%
Gemini 2.0 Pro Experimental,Google,7%
Gemini 2.5 Flash Thinking 2504,Google,12%
Gemini 2.5 Flash Non-Thinking 2504,Google,5%
Gemini 2.5 Flash Non-Thinking 2505,Google,5%
Gemini 2.5 Flash Thinking 2505,Google,11%
Gemini 2.5 Flash (Sep) Non-Thinking,Google,8%
Gemini 2.5 Flash (Sep) Thinking,Google,13%
Gemini 2.5 Flash-Lite Thinking,Google,6%
Gemini 2.5 Flash-Lite Non-Thinking,Google,4%
Gemini 2.5 Flash-Lite (Sep) Thinking,Google,7%
Gemini 2.5 Flash-Lite (Sep) Non-Thinking,Google,5%
Gemini 2.5 Pro,Google,21%
Gemini 2.5 Pro (Mar),Google,17%
Gemini 2.5 Pro (May),Google,15%
Gemini 3 Flash Thinking,Google,35%
Gemini 3 Flash Non-Thinking,Google,14%
Gemini 3 Pro Preview (high),Google,37%
Gemini 3 Pro Preview (low),Google,28%
Gemma 3 12B,Google,5%
Gemma 3 1B,Google,5%
Gemma 3 270M,Google,4%
Gemma 3 27B,Google,5%
Gemma 3 4B,Google,5%
Gemma 3n E2B,Google,4%
Gemma 3n E4B,Google,4%
Gemma 3n E4B (May),Google,5%
Granite 3.3 8B,IBM,4%
Granite 4.0 1B,IBM,5%
Granite 4.0 350M,IBM,6%
Granite 4.0 H 1B,IBM,5%
Granite 4.0 H 350M,IBM,6%
Granite 4.0 H Small,IBM,4%
Granite 4.0 Micro,IBM,5%
Grok 2,xAI,4%
Grok 3,xAI,5%
Grok 3 Reasoning Beta,xAI,--
Grok 3 mini Reasoning (high),xAI,11%
Grok 4,xAI,24%
Grok 4 Fast Thinking,xAI,17%
Grok 4 Fast Non-Thinking,xAI,5%
Grok 4.1 Fast Non-Thinking,xAI,5%
Grok 4.1 Fast Thinking,xAI,18%
Grok Beta,xAI,5%
Grok Code Fast 1,xAI,8%
Grok Voice Agent,xAI,--
Grok-1,xAI,--
Hermes 3 - Llama-3.1 70B,Nous Research,4%
Hermes 4 405B Non-Thinking,Nous Research,4%
Hermes 4 405B Thinking,Nous Research,10%
Hermes 4 70B Thinking,Nous Research,8%
Hermes 4 70B Non-Thinking,Nous Research,4%
HyperCLOVA X SEED Think (32B),Naver,6%
Jamba 1.5 Large,AI21 Labs,4%
Jamba 1.5 Mini,AI21 Labs,5%
Jamba 1.6 Large,AI21 Labs,4%
Jamba 1.6 Mini,AI21 Labs,5%
Jamba 1.7 Large,AI21 Labs,4%
Jamba 1.7 Mini,AI21 Labs,5%
Jamba Reasoning 3B,AI21 Labs,5%
K2-V2 (high),MBZUAI Institute of Foundation Models,10%
K2-V2 (low),MBZUAI Institute of Foundation Models,4%
K2-V2 (medium),MBZUAI Institute of Foundation Models,4%
KAT-Coder-Pro V1,KwaiKAT,33%
Kimi K2,Kimi,7%
Kimi K2 0905,Kimi,6%
Kimi K2 Thinking,Kimi,22%
Kimi Linear 48B A3B Instruct,Kimi,3%
LFM 40B,Liquid AI,5%
LFM2 1.2B,Liquid AI,6%
LFM2 2.6B,Liquid AI,5%
LFM2 8B A1B,Liquid AI,5%
Ling-1T,InclusionAI,7%
Ling-flash-2.0,InclusionAI,6%
Ling-mini-2.0,InclusionAI,5%
Llama 2 Chat 13B,Meta,5%
Llama 2 Chat 70B,Meta,5%
Llama 2 Chat 7B,Meta,6%
Llama 3 70B,Meta,4%
Llama 3 8B,Meta,5%
Llama 3.1 405B,Meta,4%
Llama 3.1 70B,Meta,5%
Llama 3.1 8B,Meta,5%
Llama 3.1 Nemotron 70B,NVIDIA,5%
Llama 3.1 Nemotron Nano 4B v1.1,NVIDIA,5%
Llama 3.2 11B (Vision),Meta,5%
Llama 3.2 1B,Meta,5%
Llama 3.2 3B,Meta,5%
Llama 3.2 90B (Vision),Meta,5%
Llama 3.3 70B,Meta,4%
Llama 3.3 Nemotron Super 49B Non-Thinking,NVIDIA,4%
Llama 3.3 Nemotron Super 49B Thinking,NVIDIA,7%
Llama 4 Maverick,Meta,5%
Llama 4 Scout,Meta,4%
Llama 65B,Meta,--
Llama Nemotron Super 49B v1.5 Thinking,NVIDIA,7%
Llama Nemotron Super 49B v1.5 Non-Thinking,NVIDIA,4%
Llama Nemotron Ultra,NVIDIA,8%
Magistral Medium 1,Mistral,10%
Magistral Medium 1.2,Mistral,10%
Magistral Small 1,Mistral,7%
Magistral Small 1.2,Mistral,6%
Mi:dm K 2.5 Pro Preview,Korea Telecom,9%
MiMo-V2-Flash Thinking,Xiaomi,21%
MiMo-V2-Flash Non-Thinking,Xiaomi,8%
MiniMax M1 40k,MiniMax,8%
MiniMax M1 80k,MiniMax,8%
MiniMax-M2,MiniMax,13%
MiniMax-M2.1,MiniMax,22%
Ministral 14B (Dec '25),Mistral,5%
Ministral 3B (Dec '25),Mistral,5%
Ministral 8B (Dec '25),Mistral,4%
Mistral 7B,Mistral,4%
Mistral Large (Feb),Mistral,3%
Mistral Large 2 (Jul),Mistral,3%
Mistral Large 2 (Nov),Mistral,4%
Mistral Large 3,Mistral,4%
Mistral Medium,Mistral,3%
Mistral Medium 3,Mistral,4%
Mistral Medium 3.1,Mistral,4%
Mistral Saba,Mistral,4%
Mistral Small (Feb),Mistral,4%
Mistral Small (Sep),Mistral,4%
Mistral Small 3,Mistral,4%
Mistral Small 3.1,Mistral,5%
Mistral Small 3.2,Mistral,4%
Mixtral 8x22B,Mistral,4%
Mixtral 8x7B,Mistral,5%
Molmo 7B-D,Allen Institute for AI,5%
Motif-2-12.7B,Motif Technologies,8%
NVIDIA Nemotron 3 Nano Non-Thinking,NVIDIA,5%
NVIDIA Nemotron 3 Nano Thinking,NVIDIA,10%
NVIDIA Nemotron Nano 12B v2 VL Non-Thinking,NVIDIA,5%
NVIDIA Nemotron Nano 12B v2 VL Thinking,NVIDIA,5%
NVIDIA Nemotron Nano 9B V2 Non-Thinking,NVIDIA,4%
NVIDIA Nemotron Nano 9B V2 Thinking,NVIDIA,5%
Nova 2.0 Lite,Amazon,3%
Nova 2.0 Lite (low),Amazon,4%
Nova 2.0 Lite (medium),Amazon,9%
Nova 2.0 Omni,Amazon,4%
Nova 2.0 Omni (low),Amazon,4%
Nova 2.0 Omni (medium),Amazon,7%
Nova 2.0 Pro Preview,Amazon,4%
Nova 2.0 Pro Preview (low),Amazon,5%
Nova 2.0 Pro Preview (medium),Amazon,9%
Nova Lite,Amazon,5%
Nova Micro,Amazon,5%
Nova Premier,Amazon,5%
Nova Pro,Amazon,3%
OLMo 2 32B,Allen Institute for AI,4%
OLMo 2 7B,Allen Institute for AI,6%
OLMo 3 32B Think,Allen Institute for AI,6%
OLMo 3 7B,Allen Institute for AI,6%
OLMo 3 7B Think,Allen Institute for AI,6%
Olmo 3.1 32B Think,Allen Institute for AI,6%
OpenChat 3.5,OpenChat,5%
PALM-2,Google,--
Phi-3 Mini,Microsoft Azure,4%
Phi-4,Microsoft Azure,4%
Phi-4 Mini,Microsoft Azure,4%
Phi-4 Multimodal,Microsoft Azure,4%
Pixtral Large,Mistral,4%
QwQ 32B-Preview,Alibaba,5%
QwQ-32B,Alibaba,8%
Qwen Chat 14B,Alibaba,--
Qwen Chat 72B,Alibaba,--
Qwen1.5 Chat 110B,Alibaba,--
Qwen2 72B,Alibaba,4%
Qwen2.5 72B,Alibaba,4%
Qwen2.5 Coder 32B,Alibaba,4%
Qwen2.5 Coder 7B,Alibaba,5%
Qwen2.5 Instruct 32B,Alibaba,4%
Qwen2.5 Max,Alibaba,5%
Qwen2.5 Turbo,Alibaba,4%
Qwen3 0.6B Non-Thinking,Alibaba,5%
Qwen3 0.6B Thinking,Alibaba,6%
Qwen3 1.7B Thinking,Alibaba,5%
Qwen3 1.7B Non-Thinking,Alibaba,5%
Qwen3 14B Non-Thinking,Alibaba,4%
Qwen3 14B Thinking,Alibaba,4%
Qwen3 235B Thinking,Alibaba,12%
Qwen3 235B Non-Thinking,Alibaba,5%
Qwen3 235B 2507,Alibaba,11%
Qwen3 235B A22B 2507,Alibaba,15%
Qwen3 30B Thinking,Alibaba,7%
Qwen3 30B Non-Thinking,Alibaba,5%
Qwen3 30B A3B 2507 Thinking,Alibaba,10%
Qwen3 30B A3B 2507 Non-Thinking,Alibaba,7%
Qwen3 32B Non-Thinking,Alibaba,4%
Qwen3 32B Thinking,Alibaba,8%
Qwen3 4B Thinking,Alibaba,5%
Qwen3 4B Non-Thinking,Alibaba,4%
Qwen3 4B 2507 Non-Thinking,Alibaba,5%
Qwen3 4B 2507 Thinking,Alibaba,6%
Qwen3 8B Thinking,Alibaba,4%
Qwen3 8B Non-Thinking,Alibaba,3%
Qwen3 Coder 30B A3B,Alibaba,4%
Qwen3 Coder 480B,Alibaba,4%
Qwen3 Max,Alibaba,11%
Qwen3 Max (Preview),Alibaba,9%
Qwen3 Max Thinking,Alibaba,12%
Qwen3 Next 80B A3B Non-Thinking,Alibaba,7%
Qwen3 Next 80B A3B Thinking,Alibaba,12%
Qwen3 Omni 30B A3B Non-Thinking,Alibaba,5%
Qwen3 Omni 30B A3B Thinking,Alibaba,7%
Qwen3 VL 235B A22B Non-Thinking,Alibaba,6%
Qwen3 VL 235B A22B Thinking,Alibaba,10%
Qwen3 VL 30B A3B Non-Thinking,Alibaba,6%
Qwen3 VL 30B A3B Thinking,Alibaba,9%
Qwen3 VL 32B Non-Thinking,Alibaba,6%
Qwen3 VL 32B Thinking,Alibaba,10%
Qwen3 VL 4B Thinking,Alibaba,4%
Qwen3 VL 4B Non-Thinking,Alibaba,4%
Qwen3 VL 8B Non-Thinking,Alibaba,3%
Qwen3 VL 8B Thinking,Alibaba,3%
R1 1776,Perplexity,--
Reka Flash,Reka AI,--
Reka Flash 3,Reka AI,5%
Ring-1T,InclusionAI,10%
Ring-flash-2.0,InclusionAI,9%
Seed-OSS-36B-Instruct,ByteDance Seed,9%
Solar Mini,Upstage,--
Solar Pro 2 Non-Thinking,Upstage,4%
Solar Pro 2 Preview Non-Thinking,Upstage,4%
Solar Pro 2 Preview Thinking,Upstage,6%
Solar Pro 2 Thinking,Upstage,7%
Sonar,Perplexity,7%
Sonar Pro,Perplexity,8%
Sonar Reasoning,Perplexity,--
Sonar Reasoning Pro,Perplexity,--
Tulu3 405B,Allen Institute for AI,4%
gpt-oss-120B (high),OpenAI,19%
gpt-oss-120B (low),OpenAI,5%
gpt-oss-20B (high),OpenAI,10%
gpt-oss-20B (low),OpenAI,5%
o1,OpenAI,8%
o1-mini,OpenAI,5%
o1-preview,OpenAI,--
o1-pro,OpenAI,--
o3,OpenAI,20%
o3-mini,OpenAI,9%
o3-mini (high),OpenAI,12%
o3-pro,OpenAI,--
o4-mini (high),OpenAI,18%
