model_name,score,rank
GLM-4.6V,32.0,112
MiniMax M1 40k,32.0,112
Solar Pro 2,32.0,112
Qwen3 14B,32.0,112
o3-mini (high),31.0,118
Gemini 2.5 Flash-Lite (Sep),31.0,118
GLM-4.6V,31.0,118
Mistral Large 2 (Nov),31.0,118
GPT-5 nano (medium),30.0,122
Gemini 2.5 Flash-Lite (Sep),30.0,122
Qwen3 32B,30.0,122
Gemini 2.0 Flash,30.0,122
Mistral Small 3.2,30.0,122
o3-mini,29.0,127
Qwen3 VL 32B,29.0,127
Qwen3 VL 8B,29.0,127
Gemini 2.5 Flash (Sep),28.0,130
Qwen3 30B A3B 2507,28.0,130
K2-V2 (high),28.0,130
Llama Nemotron Super 49B v1.5,28.0,130
Magistral Small 1.2,28.0,130
Solar Pro 2,28.0,130
Qwen3 8B,28.0,130
Devstral Small,28.0,130
Hermes 4 405B,27.0,138
Magistral Small 1,27.0,138
Ministral 14B (Dec '25),27.0,138
Qwen3 4B 2507,27.0,138
Qwen3 235B,27.0,138
Ministral 8B (Dec '25),27.0,138
Llama 3.3 70B,27.0,138
Ring-1T,26.0,145
Qwen3 30B,26.0,145
GPT-5 nano (minimal),26.0,145
Qwen3 1.7B,26.0,145
Qwen3 4B 2507,25.0,149
K2-V2 (medium),25.0,149
Mistral Large 3,25.0,149
Devstral 2,25.0,149
GPT-4o (Nov),25.0,149
Llama Nemotron Super 49B v1.5,25.0,149
NVIDIA Nemotron 3 Nano,25.0,149
Mistral Small 3.1,25.0,149
Qwen3 8B,25.0,149
Ministral 3B (Dec '25),25.0,149
Qwen3 235B,24.0,159
Mistral Medium 3,24.0,159
Hermes 4 70B,23.0,161
GLM-4.5V,23.0,161
NVIDIA Nemotron Nano 9B V2,23.0,161
Magistral Medium 1,23.0,161
DeepSeek V3 (Dec),23.0,161
Qwen3 VL 8B,23.0,161
Devstral Small 2,23.0,161
Qwen3 VL 4B,23.0,161
Llama 3.1 Nemotron 70B,23.0,161
Granite 4.0 1B,23.0,161
Qwen3 Next 80B A3B,22.0,171
Hermes 4 405B,22.0,171
NVIDIA Nemotron Nano 9B V2,22.0,171
DeepSeek R1 Distill Llama 70B,22.0,171
Hermes 4 70B,22.0,171
Qwen3 1.7B,22.0,171
NVIDIA Nemotron Nano 12B v2 VL,21.0,177
Qwen3 Omni 30B A3B,21.0,177
Ling-flash-2.0,21.0,177
K2-V2 (low),21.0,177
Exaone 4.0 1.2B,21.0,177
Qwen3 0.6B,21.0,177
Llama 3.2 3B,21.0,177
Qwen3 VL 30B A3B,20.0,184
Devstral Medium,20.0,184
GLM-4.5V,20.0,184
Mistral Small 3,20.0,184
Solar Mini,20.0,184
Granite 4.0 H 1B,20.0,184
Qwen3 VL 30B A3B,19.0,190
Gemini 2.5 Flash-Lite,19.0,190
Llama 3.1 405B,19.0,190
Qwen3 4B,19.0,190
NVIDIA Nemotron Nano 12B v2 VL,19.0,190
Gemini 2.5 Flash-Lite,18.0,195
Llama 4 Maverick,18.0,195
Nova Lite,18.0,195
EXAONE 4.0 32B,17.0,198
GPT-4.1 nano,17.0,198
Granite 4.0 H Small,17.0,198
Qwen3 Omni 30B A3B,16.0,201
Llama 4 Scout,16.0,201
Qwen3 VL 4B,16.0,201
Exaone 4.0 1.2B,16.0,201
Jamba Reasoning 3B,16.0,201
Llama 3.1 8B,16.0,201
Gemini 2.5 Flash,15.0,207
Command A,15.0,207
Llama 3.1 70B,15.0,207
Llama 3.2 11B (Vision),15.0,207
Qwen3 0.6B,15.0,207
Granite 4.0 H 350M,15.0,207
Nova Pro,14.0,213
Jamba 1.7 Large,14.0,213
Nova Micro,14.0,213
LFM2 2.6B,14.0,213
Ling-mini-2.0,13.0,217
OLMo 3 7B,13.0,217
Granite 4.0 Micro,13.0,217
Jamba 1.7 Mini,13.0,217
LFM2 1.2B,13.0,217
Granite 4.0 350M,13.0,217
Llama 3.1 Nemotron Nano 4B v1.1,12.0,223
Llama 3.2 1B,12.0,223
DeepSeek R1 (Jan),11.0,225
Llama Nemotron Ultra,11.0,225
Gemma 3 27B,11.0,225
Gemma 3 12B,11.0,225
LFM2 8B A1B,11.0,225
Granite 3.3 8B,11.0,225
Qwen3 30B A3B 2507,10.0,231
Gemma 3 270M,9.0,232
Phi-4 Mini,8.0,233
Gemma 3n E4B,5.0,234
Gemma 3 4B,5.0,234
EXAONE 4.0 32B,4.0,236
DeepSeek V3.2 Speciale,0.0,237
GPT-5 (ChatGPT),0.0,237
Ring-flash-2.0,0.0,237
Olmo 3.1 32B Think,0.0,237
OLMo 3 32B Think,0.0,237
ERNIE 4.5 300B A47B,0.0,237
OLMo 3 7B Think,0.0,237
DeepSeek R1 0528 Qwen3 8B,0.0,237
Kimi Linear 48B A3B Instruct,0.0,237
Reka Flash 3,0.0,237
Phi-4,0.0,237
OLMo 2 32B,0.0,237
Phi-3 Mini,0.0,237
Gemma 3n E2B,0.0,237
OLMo 2 7B,0.0,237
Molmo 7B-D,0.0,237
Gemma 3 1B,0.0,237
