Model,Features Creator,Intelligence GPQA Diamond (Scientific Reasoning)
Claude 3.7 Sonnet,Anthropic,66%
Qwen3 VL 32B,Alibaba,67%
GLM-4.6V,Z AI,72%
NVIDIA Nemotron Nano 12B v2 VL,NVIDIA,57%
Gemini 2.5 Flash,Google,68%
Gemini 2.5 Flash-Lite,Google,63%
MiniMax M1 40k,MiniMax,68%
K2-V2 (medium),MBZUAI Institute of Foundation Models,60%
Qwen3 Omni 30B A3B,Alibaba,73%
Ring-flash-2.0,InclusionAI,73%
o1-mini,OpenAI,60%
Hermes 4 70B,Nous Research,70%
Qwen3 32B,Alibaba,67%
Grok 4 Fast,xAI,61%
Llama Nemotron Ultra,NVIDIA,73%
Qwen3 VL 30B A3B,Alibaba,70%
Mistral Large 3,Mistral,68%
GPT-4.5 (Preview),OpenAI,--
Olmo 3.1 32B Think,Allen Institute for AI,59%
Ling-flash-2.0,InclusionAI,66%
Grok 4.1 Fast,xAI,64%
QwQ-32B,Alibaba,59%
Solar Pro 2,Upstage,69%
Gemini 2.0 Flash Thinking exp. (Jan),Google,70%
NVIDIA Nemotron Nano 9B V2,NVIDIA,57%
GLM-4.5V,Z AI,68%
Qwen3 30B A3B 2507,Alibaba,66%
Qwen3 30B,Alibaba,62%
Devstral 2,Mistral,59%
OLMo 3 32B Think,Allen Institute for AI,61%
Solar Pro 2,Upstage,58%
NVIDIA Nemotron Nano 9B V2,NVIDIA,56%
Qwen3 14B,Alibaba,60%
Llama 4 Maverick,Meta,67%
Nova 2.0 Lite,Amazon,60%
GPT-4o (Mar),OpenAI,66%
Llama 3.3 Nemotron Super 49B,NVIDIA,64%
Mistral Medium 3.1,Mistral,59%
Gemini 2.0 Pro Experimental,Google,62%
Sonar Reasoning,Perplexity,62%
Gemini 2.5 Flash,Google,59%
Nova 2.0 Omni,Amazon,56%
Mistral Medium 3,Mistral,58%
Gemini 2.0 Flash,Google,62%
Qwen3 Coder 30B A3B,Alibaba,52%
Magistral Medium 1,Mistral,68%
ERNIE 4.5 300B A47B,Baidu,81%
DeepSeek R1 Distill Qwen 32B,DeepSeek,62%
Hermes 4 405B,Nous Research,54%
DeepSeek V3 (Dec),DeepSeek,56%
Nova Premier,Amazon,57%
Qwen3 VL 8B,Alibaba,58%
OLMo 3 7B Think,Allen Institute for AI,52%
Magistral Small 1,Mistral,64%
Gemini 2.0 Flash (exp),Google,64%
Devstral Small 2,Mistral,53%
K2-V2 (low),MBZUAI Institute of Foundation Models,54%
DeepSeek R1 0528 Qwen3 8B,DeepSeek,61%
Qwen2.5 Max,Alibaba,59%
Ministral 14B (Dec '25),Mistral,57%
GLM-4.6V,Z AI,57%
Qwen3 4B 2507,Alibaba,52%
EXAONE 4.0 32B,LG AI Research,63%
Solar Pro 2,Upstage,56%
Qwen3 Omni 30B A3B,Alibaba,62%
Gemini 2.5 Flash-Lite,Google,47%
Gemini 1.5 Pro (Sep),Google,59%
Solar Pro 2,Upstage,54%
Qwen3 235B,Alibaba,61%
DeepSeek R1 Distill Llama 70B,DeepSeek,40%
Claude 3.5 Sonnet (Oct),Anthropic,60%
DeepSeek R1 Distill Qwen 14B,DeepSeek,48%
Qwen3 14B,Alibaba,47%
Mistral Small 3.2,Mistral,51%
GPT-5 nano (minimal),OpenAI,43%
GPT-4o (Aug),OpenAI,52%
Qwen2.5 72B,Alibaba,49%
Sonar,Perplexity,47%
Qwen3 8B,Alibaba,59%
Ministral 8B (Dec '25),Mistral,47%
Sonar Pro,Perplexity,58%
Llama 4 Scout,Meta,59%
Llama 3.1 405B,Meta,52%
QwQ 32B-Preview,Alibaba,56%
Llama 3.3 70B,Meta,50%
Devstral Medium,Mistral,49%
Ling-mini-2.0,InclusionAI,56%
Qwen3 VL 4B,Alibaba,49%
GPT-4.1 nano,OpenAI,51%
Devstral Small,Mistral,41%
Qwen3 VL 8B,Alibaba,43%
GPT-4o (Nov),OpenAI,54%
Command A,Cohere,53%
Gemini 2.0 Flash-Lite (Feb),Google,54%
Mistral Large 2 (Nov),Mistral,49%
Exaone 4.0 1.2B,LG AI Research,52%
Llama Nemotron Super 49B v1.5,NVIDIA,48%
Qwen3 30B,Alibaba,52%
Qwen3 32B,Alibaba,54%
GPT-4o (May),OpenAI,53%
Gemini 2.0 Flash-Lite (Preview),Google,54%
Llama 3.1 Nemotron Nano 4B v1.1,NVIDIA,41%
Kimi Linear 48B A3B Instruct,Kimi,41%
GLM-4.5V,Z AI,57%
Reka Flash 3,Reka AI,53%
Llama 3.3 Nemotron Super 49B,NVIDIA,52%
Qwen3 4B,Alibaba,52%
NVIDIA Nemotron 3 Nano,NVIDIA,40%
Claude 3.5 Sonnet (June),Anthropic,56%
NVIDIA Nemotron Nano 12B v2 VL,NVIDIA,44%
Tulu3 405B,Allen Institute for AI,52%
GPT-4o (ChatGPT),OpenAI,51%
Qwen3 VL 4B,Alibaba,37%
Nova Pro,Amazon,50%
Pixtral Large,Mistral,51%
Mistral Small 3.1,Mistral,45%
Grok 2,xAI,51%
Gemini 1.5 Flash (Sep),Google,46%
GPT-4 Turbo,OpenAI,--
Hermes 4 70B,Nous Research,49%
Llama 3.1 Nemotron 70B,NVIDIA,47%
Grok Beta,xAI,47%
Qwen3 8B,Alibaba,45%
Qwen2.5 Instruct 32B,Alibaba,47%
Granite 4.0 H Small,IBM,42%
Phi-4,Microsoft Azure,57%
Llama 3.1 70B,Meta,41%
Qwen3 1.7B,Alibaba,36%
Mistral Large 2 (Jul),Mistral,47%
OLMo 3 7B,Allen Institute for AI,40%
Gemma 3 27B,Google,43%
Qwen2.5 Coder 32B,Alibaba,42%
Ministral 3B (Dec '25),Mistral,36%
GPT-4,OpenAI,--
Nova Lite,Amazon,43%
Mistral Small 3,Mistral,46%
GPT-4o mini,OpenAI,43%
Jamba Reasoning 3B,AI21 Labs,33%
Jamba 1.7 Large,AI21 Labs,39%
DeepSeek-V2.5 (Dec),DeepSeek,--
Qwen3 4B,Alibaba,40%
Claude 3 Opus,Anthropic,49%
Exaone 4.0 1.2B,LG AI Research,42%
Gemma 3 12B,Google,35%
Claude 3.5 Haiku,Anthropic,41%
Gemini 2.0 Flash Thinking exp. (Dec),Google,--
DeepSeek-V2.5,DeepSeek,--
Devstral Small (May),Mistral,43%
Mistral Saba,Mistral,42%
DeepSeek R1 Distill Llama 8B,DeepSeek,30%
Gemini 1.5 Pro (May),Google,37%
R1 1776,Perplexity,--
Qwen2.5 Turbo,Alibaba,41%
Reka Flash,Reka AI,--
Llama 3.2 90B (Vision),Meta,43%
Solar Mini,Upstage,--
Grok-1,xAI,--
Qwen2 72B,Alibaba,37%
Nova Micro,Amazon,36%
LFM2 8B A1B,Liquid AI,34%
Llama 3.1 8B,Meta,26%
Gemini 1.5 Flash-8B,Google,36%
Granite 4.0 Micro,IBM,34%
Phi-4 Mini,Microsoft Azure,33%
DeepHermes 3 - Mistral 24B,Nous Research,38%
Llama 3.2 11B (Vision),Meta,22%
Gemma 3n E4B,Google,30%
Granite 3.3 8B,IBM,34%
Jamba 1.5 Large,AI21 Labs,43%
Jamba 1.7 Mini,AI21 Labs,32%
Gemma 3 4B,Google,29%
Hermes 3 - Llama-3.1 70B,Nous Research,40%
DeepSeek-Coder-V2,DeepSeek,--
Qwen3 1.7B,Alibaba,28%
OLMo 2 32B,Allen Institute for AI,33%
Jamba 1.6 Large,AI21 Labs,39%
Qwen3 0.6B,Alibaba,24%
Gemini 1.5 Flash (May),Google,32%
Granite 4.0 H 1B,IBM,26%
Claude 3 Sonnet,Anthropic,40%
Granite 4.0 1B,IBM,28%
Llama 3 70B,Meta,38%
Mistral Small (Sep),Mistral,38%
Gemini 1.0 Ultra,Google,--
Phi-3 Mini,Microsoft Azure,32%
Gemma 3n E4B (May),Google,28%
Phi-4 Multimodal,Microsoft Azure,32%
Qwen2.5 Coder 7B,Alibaba,34%
Mistral Large (Feb),Mistral,35%
LFM2 2.6B,Liquid AI,31%
Mixtral 8x22B,Mistral,33%
Llama 2 Chat 7B,Meta,23%
Gemma 3n E2B,Google,23%
Llama 3.2 3B,Meta,26%
Qwen3 0.6B,Alibaba,23%
Qwen1.5 Chat 110B,Alibaba,29%
LFM2 1.2B,Liquid AI,23%
Claude 2.1,Anthropic,32%
Claude 3 Haiku,Anthropic,--
OLMo 2 7B,Allen Institute for AI,29%
Molmo 7B-D,Allen Institute for AI,24%
Llama 3.2 1B,Meta,20%
DeepSeek R1 Distill Qwen 1.5B,DeepSeek,10%
Claude 2.0,Anthropic,34%
DeepSeek-V2,DeepSeek,--
Mistral Small (Feb),Mistral,30%
Mistral Medium,Mistral,35%
GPT-3.5 Turbo,OpenAI,30%
Granite 4.0 H 350M,IBM,26%
Granite 4.0 350M,IBM,26%
Arctic,Snowflake,--
Qwen Chat 72B,Alibaba,--
LFM 40B,Liquid AI,33%
Llama 3 8B,Meta,30%
Gemma 3 1B,Google,24%
PALM-2,Google,--
Gemini 1.0 Pro,Google,28%
DeepSeek Coder V2 Lite,DeepSeek,32%
Gemma 3 270M,Google,22%
Llama 2 Chat 70B,Meta,33%
DeepSeek LLM 67B (V1),DeepSeek,--
Llama 2 Chat 13B,Meta,32%
Command-R+ (Apr),Cohere,32%
OpenChat 3.5,OpenChat,23%
DBRX,Databricks,33%
Jamba 1.5 Mini,AI21 Labs,30%
Jamba 1.6 Mini,AI21 Labs,30%
Mixtral 8x7B,Mistral,29%
DeepHermes 3 - Llama-3.1 8B,Nous Research,27%
Llama 65B,Meta,--
Qwen Chat 14B,Alibaba,--
Claude Instant,Anthropic,33%
Mistral 7B,Mistral,18%
Command-R (Mar),Cohere,28%
DeepSeek-OCR,DeepSeek,--
Grok Voice Agent,xAI,--
Cogito v2.1,Deep Cogito,77%
GPT-4o Realtime (Dec),OpenAI,--
GPT-4o mini Realtime (Dec),OpenAI,--
GPT-3.5 Turbo (0613),OpenAI,--
